,(1+p1),(1-p1),(flip*flip),(z*z),expected_post,flip,p1,post-init,z
207,1.56,0.44,0,16,4.73,0,0.56,0.7300000000000004,4
208,1.19,0.81,0,196,18.352,0,0.19,4.352,14
209,1.73,0.27,0,49,7.414,0,0.73,0.4139999999999997,7
210,1.58,0.42,0,1,1.746,0,0.58,0.746,1
211,1.16,0.84,0,1,6.15,0,0.16,5.15,1
212,1.77,0.23,0,169,13.312,0,0.77,0.3119999999999994,13
213,1.71,0.29,0,196,14.446,0,0.71,0.44599999999999973,14
214,1.68,0.32,0,36,6.456,0,0.68,0.4560000000000004,6
215,1.22,0.78,0,64,11.536,0,0.22,3.5359999999999996,8
216,1.79,0.21,0,361,19.27,0,0.79,0.2699999999999996,19
217,1.24,0.76,0,256,19.014,0,0.24,3.0139999999999993,16
218,1.15,0.85,0,361,24.978,0,0.15,5.9780000000000015,19
219,1.46,0.54,0,81,10.264,0,0.46,1.2639999999999993,9
220,1.93,0.07,0,16,4.086,0,0.93,0.0860000000000003,4
221,1.45,0.55,0,64,9.346,0,0.45,1.346,8
222,1.28,0.72,0,196,16.708,0,0.28,2.7079999999999984,14
223,1.85,0.15,0,289,17.156,0,0.85,0.1559999999999988,17
224,1.53,0.47,0,256,16.896,0,0.53,0.8960000000000008,16
225,1.31,0.69,0,49,9.502,0,0.31,2.5020000000000007,7
226,1.53,0.47,0,289,18.0,0,0.53,1.0,17
227,1.23,0.77,0,1,4.368,0,0.23,3.3680000000000003,1
228,1.15,0.85,0,25,10.956,0,0.15,5.9559999999999995,5
229,1.12,0.88,0,49,15.308,0,0.12,8.308,7
230,1.34,0.66,0,361,20.948,0,0.34,1.9480000000000004,19
231,1.22,0.78,0,36,9.37,0,0.22,3.369999999999999,6
232,1.2,0.8,0,0,4.198,0,0.2,4.198,0
233,1.06,0.94,0,144,27.672,0,0.06,15.672,12
234,1.77,0.23,0,400,20.252,0,0.77,0.2519999999999989,20
235,1.81,0.19,0,225,15.206,0,0.81,0.20599999999999952,15
236,1.13,0.87,0,144,18.17,0,0.13,6.170000000000002,12
237,1.75,0.25,0,49,7.33,0,0.75,0.33000000000000007,7
238,1.61,0.39,0,100,10.662,0,0.61,0.6620000000000008,10
239,1.4,0.6,0,16,5.472,0,0.4,1.4720000000000004,4
240,1.79,0.21,0,289,17.3,0,0.79,0.3000000000000007,17
241,1.47,0.53,0,16,5.212,0,0.47,1.2119999999999997,4
242,1.12,0.88,0,289,23.98,0,0.12,6.98,17
243,1.45,0.55,0,256,17.016,0,0.45,1.0159999999999982,16
244,1.1,0.9,0,49,15.838,0,0.1,8.838,7
245,1.81,0.19,0,0,0.186,0,0.81,0.186,0
246,1.38,0.62,0,169,14.694,0,0.38,1.6940000000000008,13
