,(1+p),(1-p),(b*b),(b*c),(b+c),(b-c),(b-rounds),(c*c),(c-b),(c-rounds),(rounds*b),(rounds*c),(rounds*rounds),(rounds+b),(rounds+c),(rounds-b),(rounds-c),b,c,expected_post,p,post-init,rounds
66,1.27,0.73,361,380,39,-1,18,400,1,19,19,20,1,20,21,-18,-19,19,20,4.782,0.27,3.782,1
67,1.2,0.8,196,28,16,12,14,4,-12,2,0,0,0,14,2,-14,-2,14,2,4.906,0.2,4.906,0
68,1.41,0.59,16,76,23,-15,0,361,15,15,16,76,16,8,23,0,-15,4,19,6.292,0.41,2.292,4
69,1.12,0.88,49,56,15,-1,2,64,1,3,35,40,25,12,13,-2,-3,7,8,12.808,0.12,7.808,5
70,1.31,0.69,100,60,16,4,-4,36,-4,-8,140,84,196,24,20,4,8,10,6,16.982,0.31,2.9819999999999993,14
71,1.44,0.56,16,68,21,-13,0,289,13,13,16,68,16,8,21,0,-13,4,17,6.126,0.44,2.1260000000000003,4
72,1.7,0.3,400,60,23,17,17,9,-17,0,60,9,9,23,6,-17,0,20,3,4.378,0.7,1.3780000000000001,3
73,1.63,0.37,36,84,20,-8,-5,196,8,3,66,154,121,17,25,5,-3,6,14,12.634,0.63,1.6340000000000003,11
74,1.53,0.47,25,80,21,-11,-4,256,11,7,45,144,81,14,25,4,-7,5,16,10.894,0.53,1.8940000000000001,9
75,1.57,0.43,121,154,25,-3,7,196,3,10,44,56,16,15,18,-7,-10,11,14,5.702,0.57,1.702,4
76,1.65,0.35,36,90,21,-9,-6,225,9,3,72,180,144,18,27,6,-3,6,15,13.466,0.65,1.4659999999999993,12
77,1.7,0.3,289,102,23,11,-1,36,-11,-12,306,108,324,35,24,1,12,17,6,19.448,0.7,1.4480000000000004,18
78,1.83,0.17,81,9,10,8,6,1,-8,-2,27,3,9,12,4,-6,2,9,1,4.166,0.83,1.1660000000000004,3
79,1.85,0.15,64,48,14,2,2,36,-2,0,48,36,36,14,12,-2,0,8,6,7.21,0.85,1.21,6
80,1.6,0.4,169,195,28,-2,10,225,2,12,39,45,9,16,18,-10,-12,13,15,4.612,0.6,1.612,3
81,1.05,0.95,169,0,13,13,6,0,-13,-7,91,0,49,20,7,-6,7,13,0,27.354,0.05,20.354,7
82,1.93,0.07,400,360,38,2,6,324,-2,4,280,252,196,34,32,-6,-4,20,18,15.08,0.93,1.08,14
