,(1+p),(1-p),(b*b),(b*c),(b+c),(b-c),(b-rounds),(c*c),(c-b),(c-rounds),(rounds*b),(rounds*c),(rounds*rounds),(rounds+b),(rounds+c),(rounds-b),(rounds-c),b,c,expected_post,p,post-init,rounds
424,1.73,0.27,25,55,16,-6,0,121,6,6,25,55,25,10,16,0,-6,5,11,6.322,0.73,1.322,5
425,1.58,0.42,289,34,19,15,7,4,-15,-8,170,20,100,27,12,-7,8,17,2,11.748,0.58,1.7479999999999993,10
426,1.55,0.45,4,22,13,-9,1,121,9,10,2,11,1,3,12,-1,-10,2,11,2.726,0.55,1.726,1
427,1.32,0.68,49,133,26,-12,-3,361,12,9,70,190,100,17,29,3,-9,7,19,13.146,0.32,3.146000000000001,10
428,1.22,0.78,144,36,15,9,-5,9,-9,-14,204,51,289,29,20,5,14,12,3,21.658,0.22,4.658000000000001,17
429,1.59,0.41,16,4,5,3,-16,1,-3,-19,80,20,400,24,21,16,19,4,1,21.694,0.59,1.693999999999999,20
430,1.28,0.72,16,0,4,4,0,0,-4,-4,16,0,16,8,4,0,4,4,0,7.848,0.28,3.848,4
431,1.38,0.62,9,3,4,2,-3,1,-2,-5,18,6,36,9,7,3,5,3,1,8.738,0.38,2.7379999999999995,6
432,1.13,0.87,361,0,19,19,1,0,-19,-18,342,0,324,37,18,-1,18,19,0,25.364,0.13,7.364000000000001,18
433,1.47,0.53,121,11,12,10,-9,1,-10,-19,220,20,400,31,21,9,19,11,1,22.106,0.47,2.1060000000000016,20
434,1.05,0.95,9,18,9,-3,-17,36,3,-14,60,120,400,23,26,17,14,3,6,39.766,0.05,19.766,20
435,1.28,0.72,4,4,4,0,-6,4,0,-6,16,16,64,10,10,6,6,2,2,11.378,0.28,3.378,8
436,1.84,0.16,16,44,15,-7,3,121,7,10,4,11,1,5,12,-3,-10,4,11,2.204,0.84,1.2040000000000002,1
437,1.95,0.05,16,24,10,-2,-4,36,2,-2,32,48,64,12,14,4,2,4,6,9.04,0.95,1.0399999999999991,8
438,1.06,0.94,169,221,30,-4,-5,289,4,-1,234,306,324,31,35,5,1,13,17,35.054,0.06,17.054000000000002,18
439,1.84,0.16,225,60,19,11,5,16,-11,-6,150,40,100,25,14,-5,6,15,4,11.2,0.84,1.1999999999999993,10
440,1.85,0.15,4,8,6,-2,-9,16,2,-7,22,44,121,13,15,9,7,2,4,12.172,0.85,1.1720000000000006,11
441,1.14,0.86,4,8,6,-2,-11,16,2,-9,26,52,169,15,17,11,9,2,4,20.246,0.14,7.245999999999999,13
442,1.64,0.36,1,1,2,0,-18,1,0,-18,19,19,361,20,20,18,18,1,1,20.482,0.64,1.4819999999999993,19
443,1.34,0.66,25,20,9,1,-1,16,-1,-2,30,24,36,11,10,1,2,5,4,8.806,0.34,2.805999999999999,6
444,1.26,0.74,100,150,25,-5,-10,225,5,-5,200,300,400,30,35,10,5,10,15,23.636,0.26,3.6359999999999992,20
445,1.06,0.94,4,32,18,-14,-1,256,14,13,6,48,9,5,19,1,-13,2,16,19.366,0.06,16.366,3
446,1.91,0.09,400,340,37,3,10,289,-3,7,200,170,100,30,27,-10,-7,20,17,11.098,0.91,1.0980000000000008,10
447,1.5,0.5,256,304,35,-3,9,361,3,12,112,133,49,23,26,-9,-12,16,19,8.978,0.5,1.9779999999999998,7
448,1.05,0.95,225,255,32,-2,15,289,2,17,0,0,0,15,17,-15,-17,15,17,19.352,0.05,19.352,0
449,1.4,0.6,400,300,35,5,2,225,-5,-3,360,270,324,38,33,-2,3,20,15,20.476,0.4,2.475999999999999,18
450,1.05,0.95,225,15,16,14,6,1,-14,-8,135,9,81,24,10,-6,8,15,1,29.67,0.05,20.67,9
451,1.1,0.9,49,14,9,5,7,4,-5,2,0,0,0,7,2,-7,-2,7,2,10.56,0.1,10.56,0
452,1.78,0.22,16,44,15,-7,-13,121,7,-6,68,187,289,21,28,13,6,4,11,18.314,0.78,1.314,17
453,1.31,0.69,121,66,17,5,-5,36,-5,-10,176,96,256,27,22,5,10,11,6,19.198,0.31,3.1980000000000004,16
454,1.37,0.63,121,154,25,-3,-6,196,3,-3,187,238,289,28,31,6,3,11,14,19.742,0.37,2.742000000000001,17
455,1.81,0.19,100,90,19,1,6,81,-1,5,40,36,16,14,13,-6,-5,10,9,5.23,0.81,1.2300000000000004,4
456,1.28,0.72,1,4,5,-3,-17,16,3,-14,18,72,324,19,22,17,14,1,4,21.886,0.28,3.8859999999999992,18
457,1.89,0.11,256,272,33,-1,9,289,1,10,112,119,49,23,24,-9,-10,16,17,8.132,0.89,1.1319999999999997,7
458,1.93,0.07,100,0,10,10,1,0,-10,-9,90,0,81,19,9,-1,9,10,0,10.076,0.93,1.0760000000000005,9
459,1.18,0.82,1,11,12,-10,-7,121,10,3,8,88,64,9,19,7,-3,1,11,13.35,0.18,5.35,8
460,1.57,0.43,121,132,23,-1,-5,144,1,-4,176,192,256,27,28,5,4,11,12,17.784,0.57,1.783999999999999,16
461,1.95,0.05,225,0,15,15,-4,0,-15,-19,285,0,361,34,19,4,19,15,0,20.052,0.95,1.0519999999999996,19
462,1.51,0.49,64,160,28,-12,4,400,12,16,32,80,16,12,24,-4,-16,8,20,5.97,0.51,1.9699999999999998,4
463,1.71,0.29,361,323,36,2,18,289,-2,16,19,17,1,20,18,-18,-16,19,17,2.432,0.71,1.432,1
464,1.74,0.26,169,52,17,9,12,16,-9,3,13,4,1,14,5,-12,-3,13,4,2.312,0.74,1.3119999999999998,1
465,1.4,0.6,361,323,36,2,-1,289,-2,-3,380,340,400,39,37,1,3,19,17,22.488,0.4,2.4879999999999995,20
466,1.44,0.56,9,42,17,-11,-11,196,11,0,42,196,196,17,28,11,0,3,14,16.286,0.44,2.2860000000000014,14
467,1.65,0.35,169,0,13,13,4,0,-13,-9,117,0,81,22,9,-4,9,13,0,10.55,0.65,1.5500000000000007,9
468,1.17,0.83,9,48,19,-13,-9,256,13,4,36,192,144,15,28,9,-4,3,16,17.746,0.17,5.745999999999999,12
469,1.29,0.71,100,170,27,-7,0,289,7,7,100,170,100,20,27,0,-7,10,17,13.594,0.29,3.5939999999999994,10
470,1.1,0.9,25,20,9,1,-12,16,-1,-13,85,68,289,22,21,12,13,5,4,26.572,0.1,9.572,17
471,1.37,0.63,256,112,23,9,9,49,-9,0,112,49,49,23,14,-9,0,16,7,9.576,0.37,2.5760000000000005,7
472,1.12,0.88,324,144,26,10,5,64,-10,-5,234,104,169,31,21,-5,5,18,8,21.65,0.12,8.649999999999999,13
473,1.94,0.06,25,65,18,-8,0,169,8,8,25,65,25,10,18,0,-8,5,13,6.058,0.94,1.0579999999999998,5
474,1.73,0.27,64,32,12,4,1,16,-4,-3,56,28,49,15,11,-1,3,8,4,8.372,0.73,1.3719999999999999,7
475,1.2,0.8,400,360,38,2,18,324,-2,16,40,36,4,22,20,-18,-16,20,18,7.026,0.2,5.026,2
476,1.14,0.86,64,24,11,5,-5,9,-5,-10,104,39,169,21,16,5,10,8,3,19.956,0.14,6.9559999999999995,13
477,1.19,0.81,400,400,40,0,0,400,0,0,400,400,400,40,40,0,0,20,20,25.212,0.19,5.212,20
478,1.74,0.26,121,165,26,-4,0,225,4,4,121,165,121,22,26,0,-4,11,15,12.378,0.74,1.3780000000000001,11
479,1.24,0.76,64,72,17,-1,6,81,1,7,16,18,4,10,11,-6,-7,8,9,6.222,0.24,4.222,2
480,1.83,0.17,196,238,31,-3,1,289,3,4,182,221,169,27,30,-1,-4,14,17,14.18,0.83,1.1799999999999997,13
481,1.75,0.25,49,112,23,-9,-4,256,9,5,77,176,121,18,27,4,-5,7,16,12.37,0.75,1.3699999999999992,11
