,((p+(1/p))-p*(1/p)),(1+(1/p)),(1+p),(1-(1/p)),(1-p),(1/p),(p*(1/p)),(p+(1/p)),(x*x),(x*y),(x+y),(x-y),(y*y),(y-x),(z*z),expected_post,p,post-init,x,y,z
59,1.32,2.75,1.57,-0.75,0.43,1.75,1.0,2.32,1,1,2,0,1,0,1,3.06,0.57,2.06,1,1,1
60,1.47,2.96,1.51,-0.96,0.49,1.96,1.0,2.47,324,72,22,14,16,-14,1,23.448,0.51,5.448,18,4,1
61,1.3,2.72,1.58,-0.72,0.42,1.72,1.0,2.3,225,195,28,2,169,-2,1,25.202,0.58,10.202000000000002,15,13,1
62,2.63,4.33,1.3,-2.33,0.7,3.33,1.0,3.63,16,52,17,-9,169,9,1,45.156,0.3,41.156,4,13,1
63,1.08,2.33,1.75,-0.33,0.25,1.33,1.0,2.08,9,57,22,-16,361,16,1,9.196,0.75,6.196,3,19,1
64,2.44,4.12,1.32,-2.12,0.68,3.12,1.0,3.44,324,162,27,9,81,-9,1,46.044,0.32,28.043999999999997,18,9,1
65,1.76,3.33,1.43,-1.33,0.57,2.33,1.0,2.76,196,0,14,14,0,-14,1,17.05,0.43,3.0500000000000007,14,0,1
66,1.2,2.56,1.64,-0.56,0.36,1.56,1.0,2.2,256,224,30,2,196,-2,1,24.65,0.64,8.649999999999999,16,14,1
67,1.85,3.44,1.41,-1.44,0.59,2.44,1.0,2.85,4,22,13,-9,121,9,1,21.878,0.41,19.878,2,11,1
68,9.1,11.0,1.1,-9.0,0.9,10.0,1.0,10.1,16,56,18,-10,196,10,1,209.714,0.1,205.714,4,14,1
69,2.14,3.78,1.36,-1.78,0.64,2.78,1.0,3.14,361,171,28,10,81,-10,1,39.032,0.36,20.031999999999996,19,9,1
70,1.1,2.37,1.73,-0.37,0.27,1.37,1.0,2.1,49,28,11,3,16,-3,1,8.98,0.73,1.9800000000000004,7,4,1
71,1.56,3.08,1.48,-1.08,0.52,2.08,1.0,2.56,225,90,21,9,36,-9,1,24.39,0.48,9.39,15,6,1
72,2.74,4.45,1.29,-2.45,0.71,3.45,1.0,3.74,196,266,33,-5,361,5,1,68.144,0.29,54.144000000000005,14,19,1
73,5.05,6.88,1.17,-4.88,0.83,5.88,1.0,6.05,4,28,16,-12,196,12,1,96.674,0.17,94.674,2,14,1
74,2.74,4.45,1.29,-2.45,0.71,3.45,1.0,3.74,1,8,9,-7,64,7,1,28.882,0.29,27.882,1,8,1
75,2.07,3.7,1.37,-1.7,0.63,2.7,1.0,3.07,4,36,20,-16,324,16,1,40.07,0.37,38.07,2,18,1
76,1.47,2.96,1.51,-0.96,0.49,1.96,1.0,2.47,361,266,33,5,196,-5,1,35.296,0.51,16.296,19,14,1
77,3.41,5.17,1.24,-3.17,0.76,4.17,1.0,4.41,81,144,25,-7,256,7,1,73.44,0.24,64.44,9,16,1
78,4.2,6.0,1.2,-4.0,0.8,5.0,1.0,5.2,324,270,33,3,225,-3,1,100.408,0.2,82.408,18,15,1
79,1.11,2.39,1.72,-0.39,0.28,1.39,1.0,2.11,25,60,17,-7,144,7,1,10.23,0.72,5.23,5,12,1
80,11.58,13.5,1.08,-11.5,0.92,12.5,1.0,12.58,121,187,28,-6,289,6,1,360.962,0.08,349.962,11,17,1
81,1.01,2.12,1.89,-0.12,0.11,1.12,1.0,2.01,100,190,29,-9,361,9,1,12.374,0.89,2.3740000000000006,10,19,1
82,6.82,8.69,1.13,-6.69,0.87,7.69,1.0,7.82,121,11,12,10,1,-10,1,72.13,0.13,61.129999999999995,11,1,1
83,1.11,2.39,1.72,-0.39,0.28,1.39,1.0,2.11,361,152,27,11,64,-11,1,22.55,0.72,3.5500000000000007,19,8,1
84,1.53,3.04,1.49,-1.04,0.51,2.04,1.0,2.53,361,247,32,6,169,-6,1,34.874,0.49,15.874000000000002,19,13,1
85,1.0,2.06,1.94,-0.06,0.06,1.06,1.0,2.0,256,272,33,-1,289,1,1,16.866,0.94,0.8659999999999997,16,17,1
86,2.07,3.7,1.37,-1.7,0.63,2.7,1.0,3.07,361,38,21,17,4,-17,1,26.462,0.37,7.462,19,2,1
87,1.02,2.16,1.86,-0.16,0.14,1.16,1.0,2.02,4,16,10,-6,64,6,1,3.778,0.86,1.778,2,8,1
88,5.05,6.88,1.17,-4.88,0.83,5.88,1.0,6.05,4,10,7,-3,25,3,1,51.572,0.17,49.572,2,5,1
89,1.25,2.64,1.61,-0.64,0.39,1.64,1.0,2.25,25,30,11,-1,36,1,1,10.07,0.61,5.07,5,6,1
