,((p1+p2)-p1*p2),(1+p1),(1+p2),(1-p1),(1-p2),(c1*c1),(c1*c2),(c1+c2),(c1-c2),(c2*c2),(c2-c1),(count*count),(p1*p2),(p1+p2),c1,c2,count,expected_post,p1,p2,post-init
83,0.82,1.74,1.3,0.26,0.7,0,0,0,0,0,0,361,0.22,1.04,0,0,19,20.294,0.74,0.3,1.2940000000000005
84,0.85,1.65,1.57,0.35,0.43,0,0,0,0,0,0,36,0.37,1.22,0,0,6,7.458,0.65,0.57,1.4580000000000002
85,0.81,1.79,1.09,0.21,0.91,0,0,0,0,0,0,64,0.07,0.88,0,0,8,9.104,0.79,0.09,1.1039999999999992
86,0.77,1.29,1.67,0.71,0.33,0,0,0,0,0,0,49,0.19,0.96,0,0,7,8.254,0.29,0.67,1.2539999999999996
87,0.79,1.08,1.77,0.92,0.23,0,0,0,0,0,0,324,0.06,0.85,0,0,18,19.086,0.08,0.77,1.0859999999999985
88,0.91,1.76,1.61,0.24,0.39,0,0,0,0,0,0,4,0.46,1.37,0,0,2,3.484,0.76,0.61,1.484
89,0.57,1.47,1.19,0.53,0.81,0,0,0,0,0,0,16,0.09,0.66,0,0,4,5.146,0.47,0.19,1.146
90,0.9,1.47,1.82,0.53,0.18,0,0,0,0,0,0,400,0.39,1.29,0,0,20,21.438,0.47,0.82,1.4379999999999988
91,0.99,1.91,1.89,0.09,0.11,0,0,0,0,0,0,64,0.81,1.8,0,0,8,9.81,0.91,0.89,1.8100000000000005
92,0.95,1.23,1.94,0.77,0.06,0,0,0,0,0,0,256,0.22,1.17,0,0,16,17.224,0.23,0.94,1.2240000000000002
93,0.95,1.75,1.79,0.25,0.21,0,0,0,0,0,0,121,0.59,1.54,0,0,11,12.652,0.75,0.79,1.6519999999999992
94,0.63,1.39,1.39,0.61,0.61,0,0,0,0,0,0,1,0.15,0.78,0,0,1,2.246,0.39,0.39,1.246
95,0.62,1.53,1.2,0.47,0.8,0,0,0,0,0,0,196,0.11,0.73,0,0,14,15.206,0.53,0.2,1.2059999999999995
96,0.81,1.58,1.55,0.42,0.45,0,0,0,0,0,0,400,0.32,1.13,0,0,20,21.442,0.58,0.55,1.4420000000000002
97,0.87,1.84,1.21,0.16,0.79,0,0,0,0,0,0,16,0.18,1.05,0,0,4,5.22,0.84,0.21,1.2199999999999998
98,0.58,1.53,1.11,0.47,0.89,0,0,0,0,0,0,400,0.06,0.64,0,0,20,21.092,0.53,0.11,1.0919999999999987
99,0.97,1.81,1.84,0.19,0.16,0,0,0,0,0,0,0,0.68,1.65,0,0,0,1.708,0.81,0.84,1.708
100,0.58,1.29,1.41,0.71,0.59,0,0,0,0,0,0,121,0.12,0.7,0,0,11,12.236,0.29,0.41,1.2360000000000007
101,0.87,1.6,1.68,0.4,0.32,0,0,0,0,0,0,81,0.41,1.28,0,0,9,10.496,0.6,0.68,1.4960000000000004
102,0.77,1.13,1.74,0.87,0.26,0,0,0,0,0,0,256,0.1,0.87,0,0,16,17.144,0.13,0.74,1.1439999999999984
103,0.98,1.87,1.83,0.13,0.17,0,0,0,0,0,0,1,0.72,1.7,0,0,1,2.692,0.87,0.83,1.6920000000000002
104,0.9,1.82,1.47,0.18,0.53,0,0,0,0,0,0,324,0.39,1.29,0,0,18,19.422,0.82,0.47,1.4220000000000006
105,0.3,1.24,1.08,0.76,0.92,0,0,0,0,0,0,4,0.02,0.32,0,0,2,3.06,0.24,0.08,1.06
106,0.95,1.82,1.73,0.18,0.27,0,0,0,0,0,0,289,0.6,1.55,0,0,17,18.622,0.82,0.73,1.6219999999999999
107,0.76,1.29,1.66,0.71,0.34,0,0,0,0,0,0,1,0.19,0.95,0,0,1,2.24,0.29,0.66,1.2400000000000002
108,0.96,1.86,1.71,0.14,0.29,0,0,0,0,0,0,121,0.61,1.57,0,0,11,12.61,0.86,0.71,1.6099999999999994
109,0.54,1.35,1.29,0.65,0.71,0,0,0,0,0,0,289,0.1,0.64,0,0,17,18.176,0.35,0.29,1.1759999999999984
110,0.96,1.95,1.24,0.05,0.76,0,0,0,0,0,0,16,0.23,1.19,0,0,4,5.224,0.95,0.24,1.2240000000000002
111,0.52,1.46,1.11,0.54,0.89,0,0,0,0,0,0,225,0.05,0.57,0,0,15,16.092,0.46,0.11,1.0919999999999987
112,0.81,1.77,1.18,0.23,0.82,0,0,0,0,0,0,4,0.14,0.95,0,0,2,3.158,0.77,0.18,1.158
113,0.87,1.81,1.29,0.19,0.71,0,0,0,0,0,0,225,0.23,1.1,0,0,15,16.314,0.81,0.29,1.314
114,0.7,1.65,1.13,0.35,0.87,0,0,0,0,0,0,49,0.08,0.78,0,0,7,8.132,0.65,0.13,1.1319999999999997
115,0.8,1.79,1.05,0.21,0.95,0,0,0,0,0,0,16,0.04,0.84,0,0,4,5.048,0.79,0.05,1.048
116,0.91,1.07,1.9,0.93,0.1,0,0,0,0,0,0,25,0.06,0.97,0,0,5,6.078,0.07,0.9,1.0780000000000003
117,0.46,1.15,1.37,0.85,0.63,0,0,0,0,0,0,400,0.06,0.52,0,0,20,21.118,0.15,0.37,1.1179999999999986
118,0.27,1.18,1.11,0.82,0.89,0,0,0,0,0,0,196,0.02,0.29,0,0,14,15.084,0.18,0.11,1.0839999999999996
119,0.69,1.23,1.6,0.77,0.4,0,0,0,0,0,0,64,0.14,0.83,0,0,8,9.218,0.23,0.6,1.218
120,0.94,1.9,1.37,0.1,0.63,0,0,0,0,0,0,16,0.33,1.27,0,0,4,5.354,0.9,0.37,1.354
