,(x*x),(x*y),(x+y),(x-y),(x-z),(y*y),(y-x),(y-z),(z*x),(z*y),(z*z),(z+x),(z+y),(z-x),(z-y),expected_post,post-init,x,y,z
120,25,75,20,-10,-6,225,10,4,55,165,121,16,26,6,-4,58.248,47.248,5,15,11
121,4,28,16,-12,-4,196,12,8,12,84,36,8,20,4,-8,28.2,22.2,2,14,6
122,1,12,13,-11,-19,144,11,-8,20,240,400,21,32,19,8,31.4,11.399999999999999,1,12,20
123,9,18,9,-3,-9,36,3,-6,36,72,144,15,18,9,6,21.048,9.047999999999998,3,6,12
124,49,56,15,-1,1,64,1,2,42,48,36,13,14,-1,-2,13.044,7.0440000000000005,7,8,6
125,81,180,29,-11,-4,400,11,7,117,260,169,22,33,4,-7,116.372,103.372,9,20,13
126,36,42,13,-1,6,49,1,7,0,0,0,6,7,-6,-7,6.476,6.476,6,7,0
127,100,190,29,-9,-10,361,9,-1,200,380,400,30,39,10,1,109.222,89.222,10,19,20
128,9,12,7,-1,-6,16,1,-5,27,36,81,12,13,6,5,12.072,3.071999999999999,3,4,9
129,64,96,20,-4,0,144,4,4,64,96,64,16,20,0,-4,39.724,31.723999999999997,8,12,8
130,16,24,10,-2,-13,36,2,-11,68,102,289,21,23,13,11,25.64,8.64,4,6,17
131,1,20,21,-19,-1,400,19,18,2,40,4,3,22,1,-18,22.004,20.004,1,20,2
132,25,50,15,-5,-7,100,5,-2,60,120,144,17,22,7,2,36.736,24.735999999999997,5,10,12
133,9,12,7,-1,2,16,1,3,3,4,1,4,5,-2,-3,3.796,2.796,3,4,1
134,81,153,26,-8,0,289,8,8,81,153,81,18,26,0,-8,76.232,67.232,9,17,9
135,25,60,17,-7,-7,144,7,0,60,144,144,17,24,7,0,47.264,35.264,5,12,12
136,121,143,24,-2,10,169,2,12,11,13,1,12,14,-10,-12,22.946,21.946,11,13,1
137,196,238,31,-3,7,289,3,10,98,119,49,21,24,-7,-10,47.18,40.18,14,17,7
138,25,30,11,-1,2,36,1,3,15,18,9,8,9,-2,-3,7.748,4.748,5,6,3
139,196,280,34,-6,4,400,6,10,140,200,100,24,30,-4,-10,95.432,85.432,14,20,10
140,144,228,31,-7,-2,361,7,5,168,266,196,26,33,2,-5,98.92,84.92,12,19,14
141,196,266,33,-5,8,361,5,13,84,114,36,20,25,-8,-13,78.008,72.008,14,19,6
142,36,90,21,-9,-1,225,9,8,42,105,49,13,22,1,-8,62.222,55.222,6,15,7
143,196,280,34,-6,8,400,6,14,84,120,36,20,26,-8,-14,84.228,78.228,14,20,6
144,4,10,7,-3,-6,25,3,-3,16,40,64,10,13,6,3,13.832,5.832000000000001,2,5,8
145,225,270,33,-3,2,324,3,5,195,234,169,28,31,-2,-5,57.04,44.04,15,18,13
146,4,36,20,-16,-8,324,16,8,20,180,100,12,28,8,-8,45.804,35.804,2,18,10
147,4,36,20,-16,-6,324,16,10,16,144,64,10,26,6,-10,42.2,34.2,2,18,8
148,81,180,29,-11,-10,400,11,1,171,380,361,28,39,10,-1,118.108,99.108,9,20,19
149,289,340,37,-3,8,400,3,11,153,180,81,26,29,-8,-11,58.136,49.136,17,20,9
150,100,110,21,-1,-6,121,1,-5,160,176,256,26,27,6,5,27.19,11.190000000000001,10,11,16
151,144,216,30,-6,9,324,6,15,36,54,9,15,21,-9,-15,79.348,76.348,12,18,3
152,225,300,35,-5,-2,400,5,3,255,340,289,32,37,2,-3,84.528,67.528,15,20,17
153,225,270,33,-3,-2,324,3,1,255,306,289,32,35,2,-1,62.156,45.156,15,18,17
154,9,18,9,-3,-12,36,3,-9,45,90,225,18,21,12,9,24.152,9.152000000000001,3,6,15
155,25,40,13,-3,-4,64,3,-1,45,72,81,14,17,4,1,24.344,15.344000000000001,5,8,9
156,9,24,11,-5,-11,64,5,-6,42,112,196,17,22,11,6,28.6,14.600000000000001,3,8,14
157,121,198,29,-7,9,324,7,16,22,36,4,13,20,-9,-16,81.88,79.88,11,18,2
158,1,13,14,-12,-8,169,12,4,9,117,81,10,22,8,-4,21.478,12.478000000000002,1,13,9
159,121,154,25,-3,-1,196,3,2,132,168,144,23,26,1,-2,42.048,30.048000000000002,11,14,12
160,9,36,15,-9,-10,144,9,-1,39,156,169,16,25,10,1,40.124,27.124000000000002,3,12,13
161,36,42,13,-1,-14,49,1,-13,120,140,400,26,27,14,13,26.392,6.3919999999999995,6,7,20
162,169,208,29,-3,11,256,3,14,26,32,4,15,18,-11,-14,41.316,39.316,13,16,2
163,289,306,35,-1,9,324,1,10,136,144,64,25,26,-9,-10,25.252,17.252,17,18,8
164,1,5,6,-4,-6,25,4,-2,7,35,49,8,12,6,2,11.24,4.24,1,5,7
165,64,112,22,-6,-1,196,6,5,72,126,81,17,23,1,-5,54.2,45.2,8,14,9
166,49,91,20,-6,1,169,6,7,42,78,36,13,19,-1,-7,45.418,39.418,7,13,6
167,9,36,15,-9,-13,144,9,-4,48,192,256,19,28,13,4,40.376,24.375999999999998,3,12,16
168,25,40,13,-3,2,64,3,5,15,24,9,8,11,-2,-5,17.632,14.632000000000001,5,8,3
169,144,240,32,-8,6,400,8,14,72,120,36,18,26,-6,-14,100.788,94.788,12,20,6
170,169,234,31,-5,1,324,5,6,156,216,144,25,30,-1,-6,73.036,61.036,13,18,12
171,9,57,22,-16,-17,361,16,-1,60,380,400,23,39,17,1,72.58,52.58,3,19,20
172,9,27,12,-6,2,81,6,8,3,9,1,4,10,-2,-8,19.242,18.242,3,9,1
173,4,26,15,-11,-2,169,11,9,8,52,16,6,17,2,-9,27.248,23.248,2,13,4
174,100,120,22,-2,10,144,2,12,0,0,0,10,12,-10,-12,19.876,19.876,10,12,0
175,9,33,14,-8,-1,121,8,7,12,44,16,7,15,1,-7,27.792,23.792,3,11,4
176,25,80,21,-11,5,256,11,16,0,0,0,5,16,-5,-16,54.696,54.696,5,16,0
177,9,33,14,-8,-8,121,8,0,33,121,121,14,22,8,0,34.222,23.222,3,11,11
178,25,55,16,-6,-1,121,6,5,30,66,36,11,17,1,-5,36.59,30.590000000000003,5,11,6
179,4,34,19,-15,-12,289,15,3,28,238,196,16,31,12,-3,47.422,33.422,2,17,14
180,16,20,9,-1,-16,25,1,-15,80,100,400,24,25,16,15,23.898,3.8979999999999997,4,5,20
181,9,12,7,-1,-3,16,1,-2,18,24,36,9,10,3,2,8.824,2.824,3,4,6
182,25,45,14,-4,-12,81,4,-8,85,153,289,22,26,12,8,37.67,20.67,5,9,17
183,4,22,13,-9,-8,121,9,1,20,110,100,12,21,8,-1,28.398,18.398,2,11,10
184,4,14,9,-5,-9,49,5,-4,22,77,121,13,18,9,4,21.276,10.276,2,7,11
185,64,88,19,-3,-3,121,3,0,88,121,121,19,22,3,0,34.568,23.567999999999998,8,11,11
186,49,126,25,-11,-9,324,11,2,112,288,256,23,34,9,-2,93.884,77.884,7,18,16
187,169,195,28,-2,-2,225,2,0,195,225,225,28,30,2,0,39.242,24.241999999999997,13,15,15
188,16,20,9,-1,-10,25,1,-9,56,70,196,18,19,10,9,18.392,4.3919999999999995,4,5,14
189,49,126,25,-11,5,324,11,16,14,36,4,9,20,-5,-16,83.26,81.26,7,18,2
190,16,28,11,-3,-15,49,3,-12,76,133,361,23,26,15,12,30.97,11.969999999999999,4,7,19
191,4,12,8,-4,1,36,4,5,2,6,1,3,7,-1,-5,8.948,7.948,2,6,1
192,1,7,8,-6,-13,49,6,-7,14,98,196,15,21,13,7,20.264,6.263999999999999,1,7,14
193,9,57,22,-16,-8,361,16,8,33,209,121,14,30,8,-8,59.822,48.822,3,19,11
194,4,6,5,-1,-15,9,1,-14,34,51,289,19,20,15,14,18.92,1.9200000000000017,2,3,17
195,4,24,14,-10,0,144,10,10,4,24,4,4,14,0,-10,20.104,18.104,2,12,2
196,64,80,18,-2,-5,100,2,-3,104,130,169,21,23,5,3,28.432,15.431999999999999,8,10,13
197,25,40,13,-3,4,64,3,7,5,8,1,6,9,-4,-7,16.388,15.388000000000002,5,8,1
198,4,36,20,-16,-5,324,16,11,14,126,49,9,25,5,-11,39.724,32.724,2,18,7
199,100,120,22,-2,-7,144,2,-5,170,204,289,27,29,7,5,34.984,17.984,10,12,17
200,36,60,16,-4,0,100,4,4,36,60,36,12,16,0,-4,29.388,23.388,6,10,6
201,36,102,23,-11,-14,289,11,-3,120,340,400,26,37,14,3,80.986,60.986000000000004,6,17,20
202,16,36,13,-5,4,81,5,9,0,0,0,4,9,-4,-9,19.818,19.818,4,9,0
203,4,22,13,-9,-7,121,9,2,18,99,81,11,20,7,-2,25.418,16.418,2,11,9
204,4,36,20,-16,-16,324,16,0,36,324,324,20,36,16,0,48.576,30.576,2,18,18
205,16,72,22,-14,-9,324,14,5,52,234,169,17,31,9,-5,69.424,56.42400000000001,4,18,13
206,81,135,24,-6,-8,225,6,-2,153,255,289,26,32,8,2,67.696,50.696,9,15,17
207,25,70,19,-9,0,196,9,9,25,70,25,10,19,0,-9,49.364,44.364,5,14,5
208,4,14,9,-5,-14,49,5,-9,32,112,256,18,23,14,9,26.026,10.026,2,7,16
209,16,28,11,-3,-6,49,3,-3,40,70,100,14,17,6,3,21.562,11.562000000000001,4,7,10
210,100,180,28,-8,8,324,8,16,20,36,4,12,20,-8,-16,78.984,76.984,10,18,2
