,((p*n)*(p*n)),((p*n)*n),((p*n)*x),((p*n)+n),((p*n)+x),((p*n)-n),((p*n)-x),(1+p),(1-p),(n*n),(n*x),(n+x),(n-(p*n)),(n-x),(p*n),(x*x),(x-(p*n)),(x-n),expected_post,n,p,post-init,x
52,17.14,74.52,28.98,22.14,11.14,-13.86,-2.86,1.23,0.77,324,126,25,13.86,11,4.14,49,2.86,-11,46.068,18,0.23,39.068,7
53,2.69,3.28,0.0,3.64,1.64,-0.36,1.64,1.82,0.18,4,0,2,0.36,2,1.64,0,-1.64,-2,2.444,2,0.82,2.444,0
54,27.04,67.6,10.4,18.2,7.2,-7.8,3.2,1.4,0.6,169,26,15,7.8,11,5.2,4,-3.2,-11,38.16,13,0.4,36.16,2
55,87.98,131.32,46.9,23.38,14.38,-4.62,4.38,1.67,0.33,196,70,19,4.62,9,9.38,25,-4.38,-9,74.83,14,0.67,69.83,5
56,13.76,25.97,25.97,10.71,10.71,-3.29,-3.29,1.53,0.47,49,49,14,3.29,0,3.71,49,3.29,0,22.21,7,0.53,15.21,7
57,22.66,80.92,23.8,21.76,9.76,-12.24,-0.24,1.28,0.72,289,85,22,12.24,12,4.76,25,0.24,-12,46.764,17,0.28,41.764,5
58,10.5,12.96,22.68,7.24,10.24,-0.76,-3.76,1.81,0.19,16,28,11,0.76,-3,3.24,49,3.76,3,14.864,4,0.81,7.864000000000001,7
59,0.81,8.1,6.3,9.9,7.9,-8.1,-6.1,1.1,0.9,81,63,16,8.1,2,0.9,49,6.1,-2,11.328,9,0.1,4.327999999999999,7
60,0.3,2.75,9.35,5.55,17.55,-4.45,-16.45,1.11,0.89,25,85,22,4.45,-12,0.55,289,16.45,12,18.884,5,0.11,1.8840000000000003,17
61,8.12,8.55,34.2,5.85,14.85,-0.15,-9.15,1.95,0.05,9,36,15,0.15,-9,2.85,144,9.15,9,17.634,3,0.95,5.634,12
62,88.36,188.0,112.8,29.4,21.4,-10.6,-2.6,1.47,0.53,400,240,32,10.6,8,9.4,144,2.6,-8,112.484,20,0.47,100.484,12
63,203.92,242.76,14.28,31.28,15.28,-2.72,13.28,1.84,0.16,289,17,18,2.72,16,14.28,1,-13.28,-16,130.034,17,0.84,129.034,1
64,9.0,18.0,42.0,9.0,17.0,-3.0,-11.0,1.5,0.5,36,84,20,3.0,-8,3.0,196,11.0,8,24.53,6,0.5,10.530000000000001,14
65,41.73,109.82,51.68,23.46,14.46,-10.54,-1.54,1.38,0.62,289,136,25,10.54,9,6.46,64,1.54,-9,64.95,17,0.38,56.95,8
66,60.84,156.0,109.2,27.8,21.8,-12.2,-6.2,1.39,0.61,400,280,34,12.2,6,7.8,196,6.2,-6,94.956,20,0.39,80.956,14
67,20.25,67.5,0.0,19.5,4.5,-10.5,4.5,1.3,0.7,225,0,15,10.5,15,4.5,0,-4.5,-15,36.35,15,0.3,36.35,0
68,3.03,10.44,34.8,7.74,21.74,-4.26,-18.26,1.29,0.71,36,120,26,4.26,-14,1.74,400,18.26,14,26.424,6,0.29,6.4239999999999995,20
69,1.96,14.0,23.8,11.4,18.4,-8.6,-15.6,1.14,0.86,100,170,27,8.6,-7,1.4,289,15.6,7,25.142,10,0.14,8.142,17
70,0.59,8.47,6.16,11.77,8.77,-10.23,-7.23,1.07,0.93,121,88,19,10.23,3,0.77,64,7.23,-3,12.624,11,0.07,4.6240000000000006,8
71,172.66,236.52,236.52,31.14,31.14,-4.86,-4.86,1.73,0.27,324,324,36,4.86,0,13.14,324,4.86,0,144.02,18,0.73,126.02000000000001,18
72,79.74,169.67,98.23,27.93,19.93,-10.07,-2.07,1.47,0.53,361,209,30,10.07,8,8.93,121,2.07,-8,101.142,19,0.47,90.142,11
73,9.36,27.54,39.78,12.06,16.06,-5.94,-9.94,1.34,0.66,81,117,22,5.94,-4,3.06,169,9.94,4,28.514,9,0.34,15.514,13
74,153.76,248.0,74.4,32.4,18.4,-7.6,6.4,1.62,0.38,400,120,26,7.6,14,12.4,36,-6.4,-14,137.674,20,0.62,131.674,6
75,69.89,91.96,41.8,19.36,13.36,-2.64,3.36,1.76,0.24,121,55,16,2.64,6,8.36,25,-3.36,-6,55.658,11,0.76,50.658,5
76,14.14,15.04,45.12,7.76,15.76,-0.24,-8.24,1.94,0.06,16,48,16,0.24,-8,3.76,144,8.24,8,21.372,4,0.94,9.372,12
77,8.41,14.5,14.5,7.9,7.9,-2.1,-2.1,1.58,0.42,25,25,10,2.1,0,2.9,25,2.1,0,13.534,5,0.58,8.534,5
78,10.11,19.08,50.88,9.18,19.18,-2.82,-12.82,1.53,0.47,36,96,22,2.82,-10,3.18,256,12.82,10,27.42,6,0.53,11.420000000000002,16
79,1.04,2.04,12.24,3.02,13.02,-0.98,-10.98,1.51,0.49,4,24,14,0.98,-10,1.02,144,10.98,10,13.526,2,0.51,1.5259999999999998,12
80,25.4,90.72,20.16,23.04,9.04,-12.96,1.04,1.28,0.72,324,72,22,12.96,14,5.04,16,-1.04,-14,53.186,18,0.28,49.186,4
81,1.54,2.48,11.16,3.24,10.24,-0.76,-7.76,1.62,0.38,4,18,11,0.76,-7,1.24,81,7.76,7,10.86,2,0.62,1.8599999999999994,9
82,86.12,148.48,120.64,25.28,22.28,-6.72,-3.72,1.58,0.42,256,208,29,6.72,3,9.28,169,3.72,-3,91.674,16,0.58,78.674,13
83,5.34,6.93,4.62,5.31,4.31,-0.69,0.31,1.77,0.23,9,6,5,0.69,1,2.31,4,-0.31,-1,6.578,3,0.77,4.578,2
84,2.43,9.36,23.4,7.56,16.56,-4.44,-13.44,1.26,0.74,36,90,21,4.44,-9,1.56,225,13.44,9,20.322,6,0.26,5.321999999999999,15
85,239.32,262.99,139.23,32.47,24.47,-1.53,6.47,1.91,0.09,289,153,26,1.53,8,15.47,81,-6.47,-8,147.854,17,0.91,138.854,9
86,0.05,0.44,3.08,2.22,14.22,-1.78,-13.78,1.11,0.89,4,28,16,1.78,-12,0.22,196,13.78,12,14.35,2,0.11,0.34999999999999964,14
87,17.31,33.28,33.28,12.16,12.16,-3.84,-3.84,1.52,0.48,64,64,16,3.84,0,4.16,64,3.84,0,26.99,8,0.52,18.99,8
88,28.52,32.04,69.42,11.34,18.34,-0.66,-7.66,1.89,0.11,36,78,19,0.66,-7,5.34,169,7.66,7,31.532,6,0.89,18.532,13
89,96.04,196.0,117.6,29.8,21.8,-10.2,-2.2,1.49,0.51,400,240,32,10.2,8,9.8,144,2.2,-8,115.884,20,0.49,103.884,12
90,5.52,11.75,23.5,7.35,12.35,-2.65,-7.65,1.47,0.53,25,50,15,2.65,-5,2.35,100,7.65,5,16.924,5,0.47,6.9239999999999995,10
91,5.48,21.06,4.68,11.34,4.34,-6.66,0.34,1.26,0.74,81,18,11,6.66,7,2.34,4,-0.34,-7,13.764,9,0.26,11.764,2
92,5.76,24.0,4.8,12.4,4.4,-7.6,0.4,1.24,0.76,100,20,12,7.6,8,2.4,4,-0.4,-8,15.722,10,0.24,13.722,2
93,0.16,1.6,2.4,4.4,6.4,-3.6,-5.6,1.1,0.9,16,24,10,3.6,-2,0.4,36,5.6,2,7.002,4,0.1,1.0019999999999998,6
94,0.44,1.32,1.98,2.66,3.66,-1.34,-2.34,1.33,0.67,4,6,5,1.34,-1,0.66,9,2.34,1,3.962,2,0.33,0.9620000000000002,3
95,32.72,74.36,40.04,18.72,12.72,-7.28,-1.28,1.44,0.56,169,91,20,7.28,6,5.72,49,1.28,-6,47.522,13,0.44,40.522,7
96,12.25,17.5,56.0,8.5,19.5,-1.5,-12.5,1.7,0.3,25,80,21,1.5,-11,3.5,256,12.5,11,26.646,5,0.7,10.646,16
97,12.11,20.88,24.36,9.48,10.48,-2.52,-3.52,1.58,0.42,36,42,13,2.52,-1,3.48,49,3.52,1,19.456,6,0.58,12.456,7
98,47.61,103.5,89.7,21.9,19.9,-8.1,-6.1,1.46,0.54,225,195,28,8.1,2,6.9,169,6.1,-2,68.512,15,0.46,55.512,13
