,(1+p),(1-p),(x*x),(x*y),(x+y),(x-y),(y*y),(y-x),expected_post,p,post-init,x,y
236,1.62,0.38,0,0,0,0,0,0,0.524,0.62,0.524,0,0
237,1.06,0.94,1,1,2,0,1,0,0.496,0.06,-0.504,1,1
238,1.09,0.91,1,1,2,0,1,0,0.504,0.09,-0.496,1,1
239,1.61,0.39,1,1,2,0,1,0,0.49,0.61,-0.51,1,1
240,1.85,0.15,0,0,0,0,0,0,0.492,0.85,0.492,0,0
241,1.84,0.16,0,0,0,0,0,0,0.514,0.84,0.514,0,0
242,1.24,0.76,0,0,0,0,0,0,0.496,0.24,0.496,0,0
243,1.2,0.8,1,1,2,0,1,0,0.504,0.2,-0.496,1,1
244,1.2,0.8,0,0,0,0,0,0,0.5,0.2,0.5,0,0
245,1.69,0.31,0,0,0,0,0,0,0.48,0.69,0.48,0,0
246,1.31,0.69,1,1,2,0,1,0,0.508,0.31,-0.492,1,1
