,(x*x),(x*y),(x+y),(x-y),(x-z),(y*y),(y-x),(y-z),(z*x),(z*y),(z*z),(z+x),(z+y),(z-x),(z-y),expected_post,post-init,x,y,z
153,1,8,9,-7,-18,64,7,-11,19,152,361,20,27,18,11,25.812,6.812000000000001,1,8,19
154,324,342,37,-1,12,361,1,13,108,114,36,24,25,-12,-13,21.75,15.75,18,19,6
155,169,208,29,-3,-2,256,3,1,195,240,225,28,31,2,-1,54.86,39.86,13,16,15
156,36,78,19,-7,-1,169,7,6,42,91,49,13,20,1,-6,49.104,42.104,6,13,7
157,169,182,27,-1,2,196,1,3,143,154,121,24,25,-2,-3,23.192,12.192,13,14,11
158,1,13,14,-12,0,169,12,12,1,13,1,2,14,0,-12,12.5,11.5,1,13,1
159,100,140,24,-4,10,196,4,14,0,0,0,10,14,-10,-14,39.4,39.4,10,14,0
160,16,48,16,-8,-6,144,8,2,40,120,100,14,22,6,-2,41.188,31.188000000000002,4,12,10
161,1,5,6,-4,-19,25,4,-15,20,100,400,21,25,19,15,24.026,4.026,1,5,20
162,49,70,17,-3,4,100,3,7,21,30,9,10,13,-4,-7,22.672,19.672,7,10,3
163,81,126,23,-5,8,196,5,13,9,14,1,10,15,-8,-13,46.82,45.82,9,14,1
164,25,100,25,-15,-4,400,15,11,45,180,81,14,29,4,-11,86.172,77.172,5,20,9
165,25,35,12,-2,-7,49,2,-5,60,84,144,17,19,7,5,21.16,9.16,5,7,12
166,144,192,28,-4,-5,256,4,-1,204,272,289,29,33,5,1,68.124,51.123999999999995,12,16,17
167,100,170,27,-7,-8,289,7,-1,180,306,324,28,35,8,1,86.276,68.276,10,17,18
168,100,180,28,-8,5,324,8,13,50,90,25,15,23,-5,-13,85.524,80.524,10,18,5
169,64,80,18,-2,-8,100,2,-6,128,160,256,24,26,8,6,32.112,16.112000000000002,8,10,16
170,16,24,10,-2,-12,36,2,-10,64,96,256,20,22,12,10,23.616,7.616,4,6,16
171,36,108,24,-12,0,324,12,12,36,108,36,12,24,0,-12,78.48,72.48,6,18,6
172,9,21,10,-4,-5,49,4,-1,24,56,64,11,15,5,1,20.294,12.294,3,7,8
173,25,75,20,-10,1,225,10,11,20,60,16,9,19,-1,-11,51.858,47.858,5,15,4
174,25,60,17,-7,-12,144,7,-5,85,204,289,22,29,12,5,52.516,35.516,5,12,17
175,225,240,31,-1,-4,256,1,-3,285,304,361,34,35,4,3,33.588,14.588000000000001,15,16,19
176,49,98,21,-7,4,196,7,11,21,42,9,10,17,-4,-11,49.54,46.54,7,14,3
177,64,128,24,-8,2,256,8,10,48,96,36,14,22,-2,-10,66.62,60.620000000000005,8,16,6
178,16,64,20,-12,-4,256,12,8,32,128,64,12,24,4,-8,57.128,49.128,4,16,8
179,289,323,36,-2,12,361,2,14,85,95,25,22,24,-12,-14,38.848,33.848,17,19,5
180,16,64,20,-12,-10,256,12,2,56,224,196,18,30,10,-2,59.644,45.644,4,16,14
181,121,220,31,-9,-3,400,9,6,154,280,196,25,34,3,-6,112.448,98.448,11,20,14
182,81,171,28,-10,6,361,10,16,27,57,9,12,22,-6,-16,91.16,88.16,9,19,3
183,81,135,24,-6,-7,225,6,-1,144,240,256,25,31,7,1,72.152,56.152,9,15,16
184,25,85,22,-12,1,289,12,13,20,68,16,9,21,-1,-13,63.014,59.014,5,17,4
185,225,255,32,-2,12,289,2,14,45,51,9,18,20,-12,-14,33.556,30.555999999999997,15,17,3
186,25,100,25,-15,2,400,15,17,15,60,9,8,23,-2,-17,73.22,70.22,5,20,3
187,169,221,30,-4,-1,289,4,3,182,238,196,27,31,1,-3,68.722,54.721999999999994,13,17,14
188,49,133,26,-12,-7,361,12,5,98,266,196,21,33,7,-5,95.632,81.632,7,19,14
189,196,280,34,-6,12,400,6,18,28,40,4,16,22,-12,-18,88.508,86.508,14,20,2
190,25,95,24,-14,-6,361,14,8,55,209,121,16,30,6,-8,80.312,69.312,5,19,11
191,36,84,20,-8,-9,196,8,-1,90,210,225,21,29,9,1,62.964,47.964,6,14,15
192,25,40,13,-3,5,64,3,8,0,0,0,5,8,-5,-8,16.296,16.296,5,8,0
193,169,182,27,-1,-2,196,1,-1,195,210,225,28,29,2,1,28.28,13.280000000000001,13,14,15
194,25,85,22,-12,-12,289,12,0,85,289,289,22,34,12,0,72.158,55.158,5,17,17
195,289,340,37,-3,-3,400,3,0,340,400,400,37,40,3,0,73.124,53.123999999999995,17,20,20
196,1,12,13,-11,-11,144,11,0,12,144,144,13,24,11,0,23.48,11.48,1,12,12
197,81,153,26,-8,-1,289,8,7,90,170,100,19,27,1,-7,83.826,73.826,9,17,10
198,49,133,26,-12,0,361,12,12,49,133,49,14,26,0,-12,92.334,85.334,7,19,7
199,81,171,28,-10,-1,361,10,9,90,190,100,19,29,1,-9,102.108,92.108,9,19,10
200,1,6,7,-5,-6,36,5,-1,7,42,49,8,13,6,1,12.432,5.432,1,6,7
201,121,132,23,-1,8,144,1,9,33,36,9,14,15,-8,-9,13.684,10.684,11,12,3
202,4,32,18,-14,-6,256,14,8,16,128,64,10,24,6,-8,33.12,25.119999999999997,2,16,8
203,49,133,26,-12,-11,361,12,1,126,342,324,25,37,11,-1,95.496,77.496,7,19,18
204,64,72,17,-1,-6,81,1,-5,112,126,196,22,23,6,5,21.376,7.376000000000001,8,9,14
205,1,7,8,-6,-13,49,6,-7,14,98,196,15,21,13,7,19.642,5.6419999999999995,1,7,14
206,225,270,33,-3,15,324,3,18,0,0,0,15,18,-15,-18,48.368,48.368,15,18,0
207,196,252,32,-4,6,324,4,10,112,144,64,22,26,-6,-10,62.744,54.744,14,18,8
208,100,140,24,-4,-9,196,4,-5,190,266,361,29,33,9,5,57.204,38.204,10,14,19
209,64,152,27,-11,6,361,11,17,16,38,4,10,21,-6,-17,89.846,87.846,8,19,2
210,16,72,22,-14,3,324,14,17,4,18,1,5,19,-3,-17,58.26,57.26,4,18,1
211,9,42,17,-11,-14,196,11,-3,51,238,289,20,31,14,3,50.908,33.908,3,14,17
212,324,360,38,-2,11,400,2,13,126,140,49,25,27,-11,-13,39.08,32.08,18,20,7
213,9,30,13,-7,-16,100,7,-9,57,190,361,22,29,16,9,39.316,20.316000000000003,3,10,19
214,9,15,8,-2,-16,25,2,-14,57,95,361,22,24,16,14,24.83,5.829999999999998,3,5,19
215,49,70,17,-3,3,100,3,6,28,40,16,11,14,-3,-6,24.688,20.688,7,10,4
216,4,22,13,-9,0,121,9,9,4,22,4,4,13,0,-9,21.056,19.056,2,11,2
217,144,156,25,-1,-2,169,1,-1,168,182,196,26,27,2,1,27.19,13.190000000000001,12,13,14
218,4,34,19,-15,2,289,15,17,0,0,0,2,17,-2,-17,29.724,29.724,2,17,0
219,16,60,19,-11,-5,225,11,6,36,135,81,13,24,5,-6,53.754,44.754,4,15,9
220,196,280,34,-6,12,400,6,18,28,40,4,16,22,-12,-18,85.348,83.348,14,20,2
221,1,3,4,-2,-16,9,2,-14,17,51,289,18,20,16,14,18.996,1.9959999999999987,1,3,17
222,1,16,17,-15,-19,256,15,-4,20,320,400,21,36,19,4,33.808,13.808,1,16,20
223,9,57,22,-16,-16,361,16,0,57,361,361,22,38,16,0,62.132,43.132,3,19,19
224,169,182,27,-1,10,196,1,11,39,42,9,16,17,-10,-11,15.668,12.668,13,14,3
225,1,13,14,-12,-12,169,12,0,13,169,169,14,26,12,0,24.21,11.21,1,13,13
226,1,20,21,-19,-8,400,19,11,9,180,81,10,29,8,-11,28.5,19.5,1,20,9
227,64,88,19,-3,-3,121,3,0,88,121,121,19,22,3,0,34.534,23.534,8,11,11
228,4,38,21,-17,-15,361,17,2,34,323,289,19,36,15,-2,49.372,32.372,2,19,17
