,((p1+p2)-p1*p2),(1+p1),(1+p2),(1-p1),(1-p2),(c1*c1),(c1*c2),(c1+c2),(c1-c2),(c2*c2),(c2-c1),(count*count),(p1*p2),(p1+p2),c1,c2,count,expected_post,p1,p2,post-init
25,0.4,1.36,1.06,0.64,0.94,0,0,0,0,0,0,256,0.02,0.42,0,0,16,17.054,0.36,0.06,1.0539999999999985
26,0.86,1.64,1.61,0.36,0.39,0,0,0,0,0,0,100,0.39,1.25,0,0,10,11.454,0.64,0.61,1.4540000000000006
27,0.28,1.08,1.22,0.92,0.78,0,0,0,0,0,0,0,0.02,0.3,0,0,0,1.058,0.08,0.22,1.058
28,0.99,1.84,1.93,0.16,0.07,0,0,0,0,0,0,100,0.78,1.77,0,0,10,11.778,0.84,0.93,1.7780000000000005
29,0.85,1.27,1.79,0.73,0.21,0,0,0,0,0,0,25,0.21,1.06,0,0,5,6.244,0.27,0.79,1.2439999999999998
30,0.97,1.64,1.93,0.36,0.07,0,0,0,0,0,0,9,0.6,1.57,0,0,3,4.602,0.64,0.93,1.6020000000000003
31,0.77,1.56,1.47,0.44,0.53,0,0,0,0,0,0,100,0.26,1.03,0,0,10,11.35,0.56,0.47,1.3499999999999996
32,0.89,1.85,1.25,0.15,0.75,0,0,0,0,0,0,4,0.21,1.1,0,0,2,3.216,0.85,0.25,1.2160000000000002
33,0.99,1.77,1.94,0.23,0.06,0,0,0,0,0,0,361,0.72,1.71,0,0,19,20.756,0.77,0.94,1.7560000000000002
34,0.24,1.19,1.06,0.81,0.94,0,0,0,0,0,0,36,0.01,0.25,0,0,6,7.022,0.19,0.06,1.0220000000000002
35,0.94,1.91,1.33,0.09,0.67,0,0,0,0,0,0,121,0.3,1.24,0,0,11,12.316,0.91,0.33,1.3160000000000007
36,0.39,1.06,1.35,0.94,0.65,0,0,0,0,0,0,169,0.02,0.41,0,0,13,14.05,0.06,0.35,1.0500000000000007
37,0.66,1.16,1.59,0.84,0.41,0,0,0,0,0,0,289,0.09,0.75,0,0,17,18.15,0.16,0.59,1.1499999999999986
38,0.9,1.05,1.89,0.95,0.11,0,0,0,0,0,0,4,0.04,0.94,0,0,2,3.062,0.05,0.89,1.0619999999999998
39,0.75,1.7,1.18,0.3,0.82,0,0,0,0,0,0,81,0.13,0.88,0,0,9,10.172,0.7,0.18,1.1720000000000006
40,0.61,1.24,1.49,0.76,0.51,0,0,0,0,0,0,64,0.12,0.73,0,0,8,9.21,0.24,0.49,1.2100000000000009
41,0.98,1.54,1.95,0.46,0.05,0,0,0,0,0,0,400,0.51,1.49,0,0,20,21.54,0.54,0.95,1.5399999999999991
42,0.84,1.67,1.52,0.33,0.48,0,0,0,0,0,0,225,0.35,1.19,0,0,15,16.414,0.67,0.52,1.4140000000000015
