,G,flip,p1,post,pre,z
279,True,0,0.79,5,5.21,5
280,False,1,0.79,4,4.0,4
281,False,1,0.79,4,4.0,4
282,False,1,0.79,4,4.0,4
283,True,0,0.79,5,5.21,5
284,True,0,0.79,5,5.21,5
285,False,1,0.79,4,4.0,4
286,False,1,0.79,4,4.0,4
287,False,1,0.79,4,4.0,4
288,False,1,0.79,4,4.0,4
289,False,1,0.79,4,4.0,4
290,True,0,0.79,5,5.21,5
291,False,1,0.79,4,4.0,4
292,False,1,0.79,4,4.0,4
293,True,0,0.79,5,5.21,5
294,True,0,0.79,5,5.21,5
295,False,1,0.79,4,4.0,4
296,False,1,0.79,4,4.0,4
297,False,1,0.79,4,4.0,4
298,False,1,0.79,4,4.0,4
299,True,0,0.79,5,5.21,5
300,False,1,0.79,4,4.0,4
301,False,1,0.79,4,4.0,4
302,True,0,0.79,5,5.21,5
303,False,1,0.79,4,4.0,4
304,False,1,0.79,4,4.0,4
305,False,1,0.79,4,4.0,4
306,False,1,0.79,4,4.0,4
307,False,1,0.79,4,4.0,4
308,False,1,0.79,4,4.0,4
309,False,1,0.79,4,4.0,4
310,False,1,0.79,4,4.0,4
311,False,1,0.79,4,4.0,4
312,True,0,0.79,5,5.21,5
313,True,0,0.79,5,5.21,5
314,False,1,0.79,4,4.0,4
315,False,1,0.79,4,4.0,4
316,False,1,0.79,4,4.0,4
317,False,1,0.79,4,4.0,4
318,True,0,0.79,5,5.21,5
319,False,1,0.79,4,4.0,4
320,False,1,0.79,4,4.0,4
321,False,1,0.79,4,4.0,4
322,False,1,0.79,4,4.0,4
323,True,0,0.79,5,5.21,5
324,False,1,0.79,4,4.0,4
325,False,1,0.79,4,4.0,4
326,False,1,0.79,4,4.0,4
327,False,1,0.79,4,4.0,4
328,False,1,0.79,4,4.0,4
329,False,1,0.79,4,4.0,4
330,False,1,0.79,4,4.0,4
331,False,1,0.79,4,4.0,4
332,False,1,0.79,4,4.0,4
333,False,1,0.79,4,4.0,4
334,False,1,0.79,4,4.0,4
335,False,1,0.79,4,4.0,4
336,False,1,0.79,4,4.0,4
337,True,0,0.79,5,5.21,5
338,False,1,0.79,4,4.0,4
339,False,1,0.79,4,4.0,4
340,True,0,0.79,5,5.21,5
341,False,1,0.79,4,4.0,4
342,False,1,0.79,4,4.0,4
343,False,1,0.79,4,4.0,4
344,False,1,0.79,4,4.0,4
345,False,1,0.79,4,4.0,4
346,False,1,0.79,4,4.0,4
347,False,1,0.79,4,4.0,4
348,False,1,0.79,4,4.0,4
349,False,1,0.79,4,4.0,4
350,False,1,0.79,4,4.0,4
351,True,0,0.79,5,5.21,5
352,True,0,0.79,5,5.21,5
353,False,1,0.79,4,4.0,4
354,False,1,0.79,4,4.0,4
355,True,0,0.79,5,5.21,5
356,False,1,0.79,4,4.0,4
357,False,1,0.79,4,4.0,4
358,False,1,0.79,4,4.0,4
359,False,1,0.79,4,4.0,4
360,True,0,0.79,5,5.21,5
361,True,0,0.79,5,5.21,5
362,False,1,0.79,4,4.0,4
363,False,1,0.79,4,4.0,4
364,False,1,0.79,4,4.0,4
365,False,1,0.79,4,4.0,4
366,False,1,0.79,4,4.0,4
367,False,1,0.79,4,4.0,4
368,False,1,0.79,4,4.0,4
369,True,0,0.79,5,5.21,5
370,False,1,0.79,4,4.0,4
371,False,1,0.79,4,4.0,4
372,True,0,0.79,5,5.21,5
373,False,1,0.79,4,4.0,4
374,True,0,0.79,5,5.21,5
375,False,1,0.79,4,4.0,4
376,False,1,0.79,4,4.0,4
377,False,1,0.79,4,4.0,4
378,False,1,0.79,4,4.0,4
379,False,1,0.79,4,4.0,4
380,False,1,0.79,4,4.0,4
381,False,1,0.79,4,4.0,4
382,False,1,0.79,4,4.0,4
383,False,1,0.79,4,4.0,4
384,False,1,0.79,4,4.0,4
385,False,1,0.79,4,4.0,4
386,False,1,0.79,4,4.0,4
387,False,1,0.79,4,4.0,4
388,False,1,0.79,4,4.0,4
389,True,0,0.79,5,5.21,5
390,False,1,0.79,4,4.0,4
391,False,1,0.79,4,4.0,4
392,False,1,0.79,4,4.0,4
393,True,0,0.79,5,5.21,5
394,False,1,0.79,4,4.0,4
395,False,1,0.79,4,4.0,4
396,False,1,0.79,4,4.0,4
397,False,1,0.79,4,4.0,4
398,False,1,0.79,4,4.0,4
399,False,1,0.79,4,4.0,4
400,False,1,0.79,4,4.0,4
401,True,0,0.79,5,5.21,5
402,True,0,0.79,5,5.21,5
403,False,1,0.79,4,4.0,4
404,False,1,0.79,4,4.0,4
405,False,1,0.79,4,4.0,4
406,False,1,0.79,4,4.0,4
407,False,1,0.79,4,4.0,4
408,False,1,0.79,4,4.0,4
409,False,1,0.79,4,4.0,4
410,False,1,0.79,4,4.0,4
411,False,1,0.79,4,4.0,4
412,True,0,0.79,5,5.21,5
413,False,1,0.79,4,4.0,4
414,False,1,0.79,4,4.0,4
415,False,1,0.79,4,4.0,4
416,False,1,0.79,4,4.0,4
417,False,1,0.79,4,4.0,4
418,True,0,0.79,5,5.21,5
419,True,0,0.79,5,5.21,5
420,False,1,0.79,4,4.0,4
421,False,1,0.79,4,4.0,4
422,False,1,0.79,4,4.0,4
423,False,1,0.79,4,4.0,4
424,False,1,0.79,4,4.0,4
425,False,1,0.79,4,4.0,4
426,False,1,0.79,4,4.0,4
427,False,1,0.79,4,4.0,4
428,True,0,0.79,5,5.21,5
429,False,1,0.79,4,4.0,4
430,True,0,0.79,5,5.21,5
431,False,1,0.79,4,4.0,4
432,False,1,0.79,4,4.0,4
433,False,1,0.79,4,4.0,4
434,True,0,0.79,5,5.21,5
435,False,1,0.79,4,4.0,4
436,False,1,0.79,4,4.0,4
437,False,1,0.79,4,4.0,4
438,False,1,0.79,4,4.0,4
439,False,1,0.79,4,4.0,4
440,False,1,0.79,4,4.0,4
441,False,1,0.79,4,4.0,4
442,True,0,0.79,5,5.21,5
443,False,1,0.79,4,4.0,4
444,False,1,0.79,4,4.0,4
445,False,1,0.79,4,4.0,4
446,False,1,0.79,4,4.0,4
447,False,1,0.79,4,4.0,4
448,True,0,0.79,5,5.21,5
449,True,0,0.79,5,5.21,5
450,False,1,0.79,4,4.0,4
451,True,0,0.79,5,5.21,5
452,False,1,0.79,4,4.0,4
453,False,1,0.79,4,4.0,4
454,False,1,0.79,4,4.0,4
455,False,1,0.79,4,4.0,4
456,False,1,0.79,4,4.0,4
457,False,1,0.79,4,4.0,4
458,True,0,0.79,5,5.21,5
459,False,1,0.79,4,4.0,4
460,False,1,0.79,4,4.0,4
461,False,1,0.79,4,4.0,4
462,False,1,0.79,4,4.0,4
463,False,1,0.79,4,4.0,4
464,False,1,0.79,4,4.0,4
465,True,0,0.79,5,5.21,5
466,False,1,0.79,4,4.0,4
467,False,1,0.79,4,4.0,4
468,False,1,0.79,4,4.0,4
469,True,0,0.79,5,5.21,5
470,False,1,0.79,4,4.0,4
471,False,1,0.79,4,4.0,4
472,False,1,0.79,4,4.0,4
473,False,1,0.79,4,4.0,4
474,False,1,0.79,4,4.0,4
475,True,0,0.79,5,5.21,5
476,False,1,0.79,4,4.0,4
477,False,1,0.79,4,4.0,4
478,False,1,0.79,4,4.0,4
479,False,1,0.79,4,4.0,4
480,False,1,0.79,4,4.0,4
481,False,1,0.79,4,4.0,4
482,False,1,0.79,4,4.0,4
483,False,1,0.79,4,4.0,4
484,False,1,0.79,4,4.0,4
485,False,1,0.79,4,4.0,4
486,False,1,0.79,4,4.0,4
487,False,1,0.79,4,4.0,4
488,True,0,0.79,5,5.21,5
489,False,1,0.79,4,4.0,4
490,False,1,0.79,4,4.0,4
491,False,1,0.79,4,4.0,4
492,False,1,0.79,4,4.0,4
493,True,0,0.79,5,5.21,5
494,False,1,0.79,4,4.0,4
495,True,0,0.79,5,5.21,5
496,False,1,0.79,4,4.0,4
497,False,1,0.79,4,4.0,4
498,False,1,0.79,4,4.0,4
499,False,1,0.79,4,4.0,4
500,True,0,0.75,10,10.25,10
501,False,1,0.75,9,9.0,9
502,False,1,0.75,9,9.0,9
503,False,1,0.75,9,9.0,9
504,False,1,0.75,9,9.0,9
505,False,1,0.75,9,9.0,9
506,False,1,0.75,9,9.0,9
507,False,1,0.75,9,9.0,9
508,False,1,0.75,9,9.0,9
509,False,1,0.75,9,9.0,9
510,False,1,0.75,9,9.0,9
511,False,1,0.75,9,9.0,9
512,True,0,0.75,10,10.25,10
513,False,1,0.75,9,9.0,9
514,False,1,0.75,9,9.0,9
515,False,1,0.75,9,9.0,9
516,False,1,0.75,9,9.0,9
517,False,1,0.75,9,9.0,9
518,False,1,0.75,9,9.0,9
519,False,1,0.75,9,9.0,9
520,False,1,0.75,9,9.0,9
521,False,1,0.75,9,9.0,9
522,True,0,0.75,10,10.25,10
523,False,1,0.75,9,9.0,9
524,False,1,0.75,9,9.0,9
525,False,1,0.75,9,9.0,9
526,False,1,0.75,9,9.0,9
527,False,1,0.75,9,9.0,9
528,False,1,0.75,9,9.0,9
529,False,1,0.75,9,9.0,9
530,False,1,0.75,9,9.0,9
531,True,0,0.75,10,10.25,10
532,True,0,0.75,10,10.25,10
533,False,1,0.75,9,9.0,9
534,False,1,0.75,9,9.0,9
535,False,1,0.75,9,9.0,9
536,False,1,0.75,9,9.0,9
537,True,0,0.75,10,10.25,10
538,True,0,0.75,10,10.25,10
539,False,1,0.75,9,9.0,9
540,False,1,0.75,9,9.0,9
541,True,0,0.75,10,10.25,10
542,False,1,0.75,9,9.0,9
543,False,1,0.75,9,9.0,9
544,False,1,0.75,9,9.0,9
545,False,1,0.75,9,9.0,9
546,False,1,0.75,9,9.0,9
547,False,1,0.75,9,9.0,9
548,True,0,0.75,10,10.25,10
549,True,0,0.75,10,10.25,10
550,True,0,0.75,10,10.25,10
551,False,1,0.75,9,9.0,9
552,False,1,0.75,9,9.0,9
553,False,1,0.75,9,9.0,9
554,False,1,0.75,9,9.0,9
555,True,0,0.75,10,10.25,10
556,False,1,0.75,9,9.0,9
557,True,0,0.75,10,10.25,10
558,False,1,0.75,9,9.0,9
559,False,1,0.75,9,9.0,9
560,False,1,0.75,9,9.0,9
561,False,1,0.75,9,9.0,9
562,False,1,0.75,9,9.0,9
563,False,1,0.75,9,9.0,9
564,False,1,0.75,9,9.0,9
565,False,1,0.75,9,9.0,9
566,True,0,0.75,10,10.25,10
567,False,1,0.75,9,9.0,9
568,True,0,0.75,10,10.25,10
569,False,1,0.75,9,9.0,9
570,False,1,0.75,9,9.0,9
571,False,1,0.75,9,9.0,9
572,False,1,0.75,9,9.0,9
573,False,1,0.75,9,9.0,9
574,False,1,0.75,9,9.0,9
575,False,1,0.75,9,9.0,9
576,False,1,0.75,9,9.0,9
577,False,1,0.75,9,9.0,9
578,True,0,0.75,10,10.25,10
579,False,1,0.75,9,9.0,9
580,False,1,0.75,9,9.0,9
581,False,1,0.75,9,9.0,9
582,False,1,0.75,9,9.0,9
583,False,1,0.75,9,9.0,9
584,True,0,0.75,10,10.25,10
585,True,0,0.75,10,10.25,10
586,False,1,0.75,9,9.0,9
587,False,1,0.75,9,9.0,9
588,True,0,0.75,10,10.25,10
589,True,0,0.75,10,10.25,10
590,False,1,0.75,9,9.0,9
591,False,1,0.75,9,9.0,9
592,False,1,0.75,9,9.0,9
593,True,0,0.75,10,10.25,10
594,False,1,0.75,9,9.0,9
595,False,1,0.75,9,9.0,9
596,True,0,0.75,10,10.25,10
597,False,1,0.75,9,9.0,9
598,False,1,0.75,9,9.0,9
599,False,1,0.75,9,9.0,9
600,False,1,0.75,9,9.0,9
601,False,1,0.75,9,9.0,9
602,False,1,0.75,9,9.0,9
603,False,1,0.75,9,9.0,9
604,False,1,0.75,9,9.0,9
605,True,0,0.75,10,10.25,10
606,False,1,0.75,9,9.0,9
607,False,1,0.75,9,9.0,9
608,False,1,0.75,9,9.0,9
609,False,1,0.75,9,9.0,9
610,True,0,0.75,10,10.25,10
611,False,1,0.75,9,9.0,9
612,False,1,0.75,9,9.0,9
613,False,1,0.75,9,9.0,9
614,False,1,0.75,9,9.0,9
615,False,1,0.75,9,9.0,9
616,True,0,0.75,10,10.25,10
617,True,0,0.75,10,10.25,10
618,True,0,0.75,10,10.25,10
619,True,0,0.75,10,10.25,10
620,False,1,0.75,9,9.0,9
621,False,1,0.75,9,9.0,9
622,False,1,0.75,9,9.0,9
623,True,0,0.75,10,10.25,10
