,(1+p),(1-p),(n*n),(n*p*n),(n*p*n*p),(n*p*x),(n*p*y),(n*p+n),(n*p+x),(n*p+y),(n*p-n),(n*p-x),(n*p-y),(n*x),(n*y),(n+x),(n+y),(n-n*p),(n-x),(n-y),(x*x),(x*y),(x+y),(x-n),(x-n*p),(x-y),(y*y),(y-n),(y-n*p),(y-x),expected_post,n,n*p,p,post-init,x,y
319,1.99,0.01,225,222.75,220.52,0.0,371.25,29.85,14.85,39.85,-0.15,14.85,-10.15,0,375,15,40,0.15,15,-10,0,0,25,-15,-14.85,-25,625,10,10.15,25,122.576,15,14.85,0.99,122.576,0,25
320,1.99,0.01,1,0.99,0.98,0.0,0.99,1.99,0.99,1.99,-0.01,0.99,-0.01,0,1,1,2,0.01,1,0,0,0,1,-1,-0.99,-1,1,0,0.01,1,1.0,1,0.99,0.99,1.0,0,1
321,1.99,0.01,625,618.75,612.56,618.75,0.0,49.75,49.75,24.75,-0.25,-0.25,24.75,625,0,50,25,0.25,0,25,625,0,25,0,0.25,25,0,-25,-24.75,-25,346.75733333333335,25,24.75,0.99,321.75733333333335,25,0
322,1.99,0.01,1,0.99,0.98,0.0,0.0,1.99,0.99,0.99,-0.01,0.99,0.99,0,0,1,1,0.01,1,1,0,0,0,-1,-0.99,0,0,-1,-0.99,0,0.992,1,0.99,0.99,0.992,0,0
323,1.99,0.01,625,618.75,612.56,0.0,0.0,49.75,24.75,24.75,-0.25,24.75,24.75,0,0,25,25,0.25,25,25,0,0,0,-25,-24.75,0,0,-25,-24.75,0,321.89866666666666,25,24.75,0.99,321.89866666666666,0,0
324,1.01,0.99,1,0.01,0.0,0.0,0.25,1.01,0.01,25.01,-0.99,0.01,-24.99,0,25,1,26,0.99,1,-24,0,0,25,-1,-0.01,-25,625,24,24.99,25,24.744,1,0.01,0.01,24.744,0,25
325,1.99,0.01,1,0.99,0.98,0.0,0.99,1.99,0.99,1.99,-0.01,0.99,-0.01,0,1,1,2,0.01,1,0,0,0,1,-1,-0.99,-1,1,0,0.01,1,1.0,1,0.99,0.99,1.0,0,1
326,1.99,0.01,625,618.75,612.56,618.75,0.0,49.75,49.75,24.75,-0.25,-0.25,24.75,625,0,50,25,0.25,0,25,625,0,25,0,0.25,25,0,-25,-24.75,-25,347.122,25,24.75,0.99,322.122,25,0
327,1.01,0.99,144,1.44,0.01,3.0,3.0,12.12,25.12,25.12,-11.88,-24.88,-24.88,300,300,37,37,11.88,-13,-13,625,625,50,13,24.88,0,625,13,24.88,0,322.718,12,0.12,0.01,297.718,25,25
328,1.99,0.01,1,0.99,0.98,0.0,0.0,1.99,0.99,0.99,-0.01,0.99,0.99,0,0,1,1,0.01,1,1,0,0,0,-1,-0.99,0,0,-1,-0.99,0,0.9913333333333333,1,0.99,0.99,0.9913333333333333,0,0
329,1.99,0.01,625,618.75,612.56,0.0,0.0,49.75,24.75,24.75,-0.25,24.75,24.75,0,0,25,25,0.25,25,25,0,0,0,-25,-24.75,0,0,-25,-24.75,0,321.768,25,24.75,0.99,321.768,0,0
330,1.99,0.01,169,167.31,165.64,321.75,321.75,25.87,37.87,37.87,-0.13,-12.13,-12.13,325,325,38,38,0.13,-12,-12,625,625,50,12,12.13,0,625,12,12.13,0,118.42333333333333,13,12.87,0.99,93.42333333333333,25,25
331,1.99,0.01,625,618.75,612.56,0.0,297.0,49.75,24.75,36.75,-0.25,24.75,12.75,0,300,25,37,0.25,25,13,0,0,12,-25,-24.75,-12,144,-13,-12.75,12,324.81333333333333,25,24.75,0.99,324.81333333333333,0,12
332,1.01,0.99,625,6.25,0.06,6.25,6.25,25.25,25.25,25.25,-24.75,-24.75,-24.75,625,625,50,50,24.75,0,0,625,625,50,0,24.75,0,625,0,24.75,0,647.2113333333333,25,0.25,0.01,622.2113333333333,25,25
333,1.99,0.01,169,167.31,165.64,0.0,321.75,25.87,12.87,37.87,-0.13,12.87,-12.13,0,325,13,38,0.13,13,-12,0,0,25,-13,-12.87,-25,625,12,12.13,25,93.29933333333334,13,12.87,0.99,93.29933333333334,0,25
334,1.99,0.01,625,618.75,612.56,0.0,618.75,49.75,24.75,49.75,-0.25,24.75,-0.25,0,625,25,50,0.25,25,0,0,0,25,-25,-24.75,-25,625,0,0.25,25,328.0106666666667,25,24.75,0.99,328.0106666666667,0,25
335,1.01,0.99,1,0.01,0.0,0.24,0.25,1.01,24.01,25.01,-0.99,-23.99,-24.99,24,25,25,26,0.99,-23,-24,576,600,49,23,23.99,-1,625,24,24.99,1,48.792,1,0.01,0.01,24.792,24,25
336,1.99,0.01,4,3.96,3.92,0.0,0.0,3.98,1.98,1.98,-0.02,1.98,1.98,0,0,2,2,0.02,2,2,0,0,0,-2,-1.98,0,0,-2,-1.98,0,2.966666666666667,2,1.98,0.99,2.966666666666667,0,0
337,1.99,0.01,1,0.99,0.98,0.0,0.0,1.99,0.99,0.99,-0.01,0.99,0.99,0,0,1,1,0.01,1,1,0,0,0,-1,-0.99,0,0,-1,-0.99,0,0.988,1,0.99,0.99,0.988,0,0
338,1.01,0.99,169,1.69,0.02,0.0,0.0,13.13,0.13,0.13,-12.87,0.13,0.13,0,0,13,13,12.87,13,13,0,0,0,-13,-0.13,0,0,-13,-0.13,0,0.878,13,0.13,0.01,0.878,0,0
339,1.99,0.01,1,0.99,0.98,0.0,24.75,1.99,0.99,25.99,-0.01,0.99,-24.01,0,25,1,26,0.01,1,-24,0,0,25,-1,-0.99,-25,625,24,24.01,25,1.176,1,0.99,0.99,1.176,0,25
340,1.01,0.99,1,0.01,0.0,0.0,0.0,1.01,0.01,0.01,-0.99,0.01,0.01,0,0,1,1,0.99,1,1,0,0,0,-1,-0.01,0,0,-1,-0.01,0,0.008,1,0.01,0.01,0.008,0,0
341,1.09,0.91,625,57.4,5.27,0.0,57.4,27.3,2.3,27.3,-22.7,2.3,-22.7,0,625,25,50,22.7,25,0,0,0,25,-25,-2.3,-25,625,0,22.7,25,597.2773333333333,25,2.3,0.09183458033420318,597.2773333333333,0,25
342,1.99,0.01,1,0.99,0.98,0.0,0.0,1.99,0.99,0.99,-0.01,0.99,0.99,0,0,1,1,0.01,1,1,0,0,0,-1,-0.99,0,0,-1,-0.99,0,0.9906666666666667,1,0.99,0.99,0.9906666666666667,0,0
343,1.99,0.01,625,618.75,612.56,0.0,0.0,49.75,24.75,24.75,-0.25,24.75,24.75,0,0,25,25,0.25,25,25,0,0,0,-25,-24.75,0,0,-25,-24.75,0,321.50733333333335,25,24.75,0.99,321.50733333333335,0,0
344,1.99,0.01,1,0.99,0.98,24.75,24.75,1.99,25.99,25.99,-0.01,-24.01,-24.01,25,25,26,26,0.01,-24,-24,625,625,50,24,24.01,0,625,24,24.01,0,26.176,1,0.99,0.99,1.1759999999999984,25,25
345,1.01,0.99,4,0.04,0.0,0.5,0.0,2.02,25.02,0.02,-1.98,-24.98,0.02,50,0,27,2,1.98,-23,2,625,0,25,23,24.98,25,0,-2,-0.02,-25,25.032666666666668,2,0.02,0.01,0.03266666666666751,25,0
346,1.99,0.01,1,0.99,0.98,24.75,0.0,1.99,25.99,0.99,-0.01,-24.01,0.99,25,0,26,1,0.01,-24,1,625,0,25,24,24.01,25,0,-1,-0.99,-25,25.994666666666667,1,0.99,0.99,0.9946666666666673,25,0
347,1.01,0.99,625,6.25,0.06,0.0,0.0,25.25,0.25,0.25,-24.75,0.25,0.25,0,0,25,25,24.75,25,25,0,0,0,-25,-0.25,0,0,-25,-0.25,0,3.138,25,0.25,0.01,3.138,0,0
348,1.01,0.99,1,0.01,0.0,0.24,0.25,1.01,24.01,25.01,-0.99,-23.99,-24.99,24,25,25,26,0.99,-23,-24,576,600,49,23,23.99,-1,625,24,24.99,1,48.728,1,0.01,0.01,24.728,24,25
349,1.99,0.01,4,3.96,3.92,0.0,0.0,3.98,1.98,1.98,-0.02,1.98,1.98,0,0,2,2,0.02,2,2,0,0,0,-2,-1.98,0,0,-2,-1.98,0,2.966,2,1.98,0.99,2.966,0,0
350,1.83,0.17,625,517.5,428.49,517.5,248.4,45.7,45.7,32.7,-4.3,-4.3,8.7,625,300,50,37,4.3,0,13,625,300,37,0,4.3,13,144,-13,-8.7,-13,346.1206666666667,25,20.7,0.827999775353927,321.1206666666667,25,12
351,1.99,0.01,625,618.75,612.56,0.0,618.75,49.75,24.75,49.75,-0.25,24.75,-0.25,0,625,25,50,0.25,25,0,0,0,25,-25,-24.75,-25,625,0,0.25,25,328.07533333333333,25,24.75,0.99,328.07533333333333,0,25
352,1.99,0.01,1,0.99,0.98,0.0,0.0,1.99,0.99,0.99,-0.01,0.99,0.99,0,0,1,1,0.01,1,1,0,0,0,-1,-0.99,0,0,-1,-0.99,0,0.9846666666666667,1,0.99,0.99,0.9846666666666667,0,0
353,1.01,0.99,625,6.25,0.06,0.0,0.0,25.25,0.25,0.25,-24.75,0.25,0.25,0,0,25,25,24.75,25,25,0,0,0,-25,-0.25,0,0,-25,-0.25,0,3.3893333333333335,25,0.25,0.01,3.3893333333333335,0,0
354,1.99,0.01,625,618.75,612.56,0.0,321.75,49.75,24.75,37.75,-0.25,24.75,11.75,0,325,25,38,0.25,25,12,0,0,13,-25,-24.75,-13,169,-12,-11.75,13,325.0013333333333,25,24.75,0.99,325.0013333333333,0,13
355,1.99,0.01,625,618.75,612.56,0.0,618.75,49.75,24.75,49.75,-0.25,24.75,-0.25,0,625,25,50,0.25,25,0,0,0,25,-25,-24.75,-25,625,0,0.25,25,327.888,25,24.75,0.99,327.888,0,25
356,1.01,0.99,169,1.69,0.02,3.25,3.25,13.13,25.13,25.13,-12.87,-24.87,-24.87,325,325,38,38,12.87,-12,-12,625,625,50,12,24.87,0,625,12,24.87,0,348.01,13,0.13,0.01000000168537027,323.01,25,25
357,1.99,0.01,625,618.75,612.56,618.75,321.75,49.75,49.75,37.75,-0.25,-0.25,11.75,625,325,50,38,0.25,0,12,625,325,38,0,0.25,12,169,-12,-11.75,-12,349.998,25,24.75,0.99,324.998,25,13
358,1.99,0.01,169,167.31,165.64,0.0,321.75,25.87,12.87,37.87,-0.13,12.87,-12.13,0,325,13,38,0.13,13,-12,0,0,25,-13,-12.87,-25,625,12,12.13,25,93.40666666666667,13,12.87,0.99,93.40666666666667,0,25
359,1.99,0.01,225,222.75,220.52,0.0,371.25,29.85,14.85,39.85,-0.15,14.85,-10.15,0,375,15,40,0.15,15,-10,0,0,25,-15,-14.85,-25,625,10,10.15,25,122.576,15,14.85,0.99,122.576,0,25
360,1.99,0.01,1,0.99,0.98,0.0,0.99,1.99,0.99,1.99,-0.01,0.99,-0.01,0,1,1,2,0.01,1,0,0,0,1,-1,-0.99,-1,1,0,0.01,1,1.0,1,0.99,0.99,1.0,0,1
361,1.99,0.01,625,618.75,612.56,618.75,0.0,49.75,49.75,24.75,-0.25,-0.25,24.75,625,0,50,25,0.25,0,25,625,0,25,0,0.25,25,0,-25,-24.75,-25,346.75733333333335,25,24.75,0.99,321.75733333333335,25,0
362,1.99,0.01,1,0.99,0.98,0.0,0.0,1.99,0.99,0.99,-0.01,0.99,0.99,0,0,1,1,0.01,1,1,0,0,0,-1,-0.99,0,0,-1,-0.99,0,0.992,1,0.99,0.99,0.992,0,0
363,1.99,0.01,625,618.75,612.56,0.0,0.0,49.75,24.75,24.75,-0.25,24.75,24.75,0,0,25,25,0.25,25,25,0,0,0,-25,-24.75,0,0,-25,-24.75,0,321.89866666666666,25,24.75,0.99,321.89866666666666,0,0
364,1.01,0.99,1,0.01,0.0,0.0,0.25,1.01,0.01,25.01,-0.99,0.01,-24.99,0,25,1,26,0.99,1,-24,0,0,25,-1,-0.01,-25,625,24,24.99,25,24.744,1,0.01,0.01,24.744,0,25
365,1.99,0.01,1,0.99,0.98,0.0,0.99,1.99,0.99,1.99,-0.01,0.99,-0.01,0,1,1,2,0.01,1,0,0,0,1,-1,-0.99,-1,1,0,0.01,1,1.0,1,0.99,0.99,1.0,0,1
366,1.99,0.01,625,618.75,612.56,618.75,0.0,49.75,49.75,24.75,-0.25,-0.25,24.75,625,0,50,25,0.25,0,25,625,0,25,0,0.25,25,0,-25,-24.75,-25,347.122,25,24.75,0.99,322.122,25,0
367,1.01,0.99,144,1.44,0.01,3.0,3.0,12.12,25.12,25.12,-11.88,-24.88,-24.88,300,300,37,37,11.88,-13,-13,625,625,50,13,24.88,0,625,13,24.88,0,322.718,12,0.12,0.01,297.718,25,25
368,1.99,0.01,1,0.99,0.98,0.0,0.0,1.99,0.99,0.99,-0.01,0.99,0.99,0,0,1,1,0.01,1,1,0,0,0,-1,-0.99,0,0,-1,-0.99,0,0.9913333333333333,1,0.99,0.99,0.9913333333333333,0,0
369,1.99,0.01,625,618.75,612.56,0.0,0.0,49.75,24.75,24.75,-0.25,24.75,24.75,0,0,25,25,0.25,25,25,0,0,0,-25,-24.75,0,0,-25,-24.75,0,321.768,25,24.75,0.99,321.768,0,0
370,1.99,0.01,169,167.31,165.64,321.75,321.75,25.87,37.87,37.87,-0.13,-12.13,-12.13,325,325,38,38,0.13,-12,-12,625,625,50,12,12.13,0,625,12,12.13,0,118.42333333333333,13,12.87,0.99,93.42333333333333,25,25
371,1.99,0.01,625,618.75,612.56,0.0,297.0,49.75,24.75,36.75,-0.25,24.75,12.75,0,300,25,37,0.25,25,13,0,0,12,-25,-24.75,-12,144,-13,-12.75,12,324.81333333333333,25,24.75,0.99,324.81333333333333,0,12
372,1.01,0.99,625,6.25,0.06,6.25,6.25,25.25,25.25,25.25,-24.75,-24.75,-24.75,625,625,50,50,24.75,0,0,625,625,50,0,24.75,0,625,0,24.75,0,647.2113333333333,25,0.25,0.01,622.2113333333333,25,25
373,1.99,0.01,169,167.31,165.64,0.0,321.75,25.87,12.87,37.87,-0.13,12.87,-12.13,0,325,13,38,0.13,13,-12,0,0,25,-13,-12.87,-25,625,12,12.13,25,93.29933333333334,13,12.87,0.99,93.29933333333334,0,25
374,1.99,0.01,625,618.75,612.56,0.0,618.75,49.75,24.75,49.75,-0.25,24.75,-0.25,0,625,25,50,0.25,25,0,0,0,25,-25,-24.75,-25,625,0,0.25,25,328.0106666666667,25,24.75,0.99,328.0106666666667,0,25
375,1.01,0.99,1,0.01,0.0,0.24,0.25,1.01,24.01,25.01,-0.99,-23.99,-24.99,24,25,25,26,0.99,-23,-24,576,600,49,23,23.99,-1,625,24,24.99,1,48.792,1,0.01,0.01,24.792,24,25
376,1.99,0.01,4,3.96,3.92,0.0,0.0,3.98,1.98,1.98,-0.02,1.98,1.98,0,0,2,2,0.02,2,2,0,0,0,-2,-1.98,0,0,-2,-1.98,0,2.966666666666667,2,1.98,0.99,2.966666666666667,0,0
377,1.99,0.01,1,0.99,0.98,0.0,0.0,1.99,0.99,0.99,-0.01,0.99,0.99,0,0,1,1,0.01,1,1,0,0,0,-1,-0.99,0,0,-1,-0.99,0,0.988,1,0.99,0.99,0.988,0,0
378,1.01,0.99,169,1.69,0.02,0.0,0.0,13.13,0.13,0.13,-12.87,0.13,0.13,0,0,13,13,12.87,13,13,0,0,0,-13,-0.13,0,0,-13,-0.13,0,0.878,13,0.13,0.01,0.878,0,0
379,1.99,0.01,1,0.99,0.98,0.0,24.75,1.99,0.99,25.99,-0.01,0.99,-24.01,0,25,1,26,0.01,1,-24,0,0,25,-1,-0.99,-25,625,24,24.01,25,1.176,1,0.99,0.99,1.176,0,25
380,1.01,0.99,1,0.01,0.0,0.0,0.0,1.01,0.01,0.01,-0.99,0.01,0.01,0,0,1,1,0.99,1,1,0,0,0,-1,-0.01,0,0,-1,-0.01,0,0.008,1,0.01,0.01,0.008,0,0
381,1.09,0.91,625,57.4,5.27,0.0,57.4,27.3,2.3,27.3,-22.7,2.3,-22.7,0,625,25,50,22.7,25,0,0,0,25,-25,-2.3,-25,625,0,22.7,25,597.2773333333333,25,2.3,0.09183458033420318,597.2773333333333,0,25
382,1.99,0.01,1,0.99,0.98,0.0,0.0,1.99,0.99,0.99,-0.01,0.99,0.99,0,0,1,1,0.01,1,1,0,0,0,-1,-0.99,0,0,-1,-0.99,0,0.9906666666666667,1,0.99,0.99,0.9906666666666667,0,0
383,1.99,0.01,625,618.75,612.56,0.0,0.0,49.75,24.75,24.75,-0.25,24.75,24.75,0,0,25,25,0.25,25,25,0,0,0,-25,-24.75,0,0,-25,-24.75,0,321.50733333333335,25,24.75,0.99,321.50733333333335,0,0
384,1.99,0.01,1,0.99,0.98,24.75,24.75,1.99,25.99,25.99,-0.01,-24.01,-24.01,25,25,26,26,0.01,-24,-24,625,625,50,24,24.01,0,625,24,24.01,0,26.176,1,0.99,0.99,1.1759999999999984,25,25
385,1.01,0.99,4,0.04,0.0,0.5,0.0,2.02,25.02,0.02,-1.98,-24.98,0.02,50,0,27,2,1.98,-23,2,625,0,25,23,24.98,25,0,-2,-0.02,-25,25.032666666666668,2,0.02,0.01,0.03266666666666751,25,0
386,1.99,0.01,1,0.99,0.98,24.75,0.0,1.99,25.99,0.99,-0.01,-24.01,0.99,25,0,26,1,0.01,-24,1,625,0,25,24,24.01,25,0,-1,-0.99,-25,25.994666666666667,1,0.99,0.99,0.9946666666666673,25,0
387,1.01,0.99,625,6.25,0.06,0.0,0.0,25.25,0.25,0.25,-24.75,0.25,0.25,0,0,25,25,24.75,25,25,0,0,0,-25,-0.25,0,0,-25,-0.25,0,3.138,25,0.25,0.01,3.138,0,0
388,1.01,0.99,1,0.01,0.0,0.24,0.25,1.01,24.01,25.01,-0.99,-23.99,-24.99,24,25,25,26,0.99,-23,-24,576,600,49,23,23.99,-1,625,24,24.99,1,48.728,1,0.01,0.01,24.728,24,25
389,1.99,0.01,4,3.96,3.92,0.0,0.0,3.98,1.98,1.98,-0.02,1.98,1.98,0,0,2,2,0.02,2,2,0,0,0,-2,-1.98,0,0,-2,-1.98,0,2.966,2,1.98,0.99,2.966,0,0
390,1.83,0.17,625,517.5,428.49,517.5,248.4,45.7,45.7,32.7,-4.3,-4.3,8.7,625,300,50,37,4.3,0,13,625,300,37,0,4.3,13,144,-13,-8.7,-13,346.1206666666667,25,20.7,0.827999775353927,321.1206666666667,25,12
391,1.99,0.01,625,618.75,612.56,0.0,618.75,49.75,24.75,49.75,-0.25,24.75,-0.25,0,625,25,50,0.25,25,0,0,0,25,-25,-24.75,-25,625,0,0.25,25,328.07533333333333,25,24.75,0.99,328.07533333333333,0,25
392,1.99,0.01,1,0.99,0.98,0.0,0.0,1.99,0.99,0.99,-0.01,0.99,0.99,0,0,1,1,0.01,1,1,0,0,0,-1,-0.99,0,0,-1,-0.99,0,0.9846666666666667,1,0.99,0.99,0.9846666666666667,0,0
393,1.01,0.99,625,6.25,0.06,0.0,0.0,25.25,0.25,0.25,-24.75,0.25,0.25,0,0,25,25,24.75,25,25,0,0,0,-25,-0.25,0,0,-25,-0.25,0,3.3893333333333335,25,0.25,0.01,3.3893333333333335,0,0
394,1.99,0.01,625,618.75,612.56,0.0,321.75,49.75,24.75,37.75,-0.25,24.75,11.75,0,325,25,38,0.25,25,12,0,0,13,-25,-24.75,-13,169,-12,-11.75,13,325.0013333333333,25,24.75,0.99,325.0013333333333,0,13
395,1.99,0.01,625,618.75,612.56,0.0,618.75,49.75,24.75,49.75,-0.25,24.75,-0.25,0,625,25,50,0.25,25,0,0,0,25,-25,-24.75,-25,625,0,0.25,25,327.888,25,24.75,0.99,327.888,0,25
396,1.01,0.99,169,1.69,0.02,3.25,3.25,13.13,25.13,25.13,-12.87,-24.87,-24.87,325,325,38,38,12.87,-12,-12,625,625,50,12,24.87,0,625,12,24.87,0,348.01,13,0.13,0.01000000168537027,323.01,25,25
397,1.99,0.01,625,618.75,612.56,618.75,321.75,49.75,49.75,37.75,-0.25,-0.25,11.75,625,325,50,38,0.25,0,12,625,325,38,0,0.25,12,169,-12,-11.75,-12,349.998,25,24.75,0.99,324.998,25,13
398,1.99,0.01,169,167.31,165.64,0.0,321.75,25.87,12.87,37.87,-0.13,12.87,-12.13,0,325,13,38,0.13,13,-12,0,0,25,-13,-12.87,-25,625,12,12.13,25,93.40666666666667,13,12.87,0.99,93.40666666666667,0,25
399,1.99,0.01,225,222.75,220.52,0.0,371.25,29.85,14.85,39.85,-0.15,14.85,-10.15,0,375,15,40,0.15,15,-10,0,0,25,-15,-14.85,-25,625,10,10.15,25,122.576,15,14.85,0.99,122.576,0,25
400,1.99,0.01,1,0.99,0.98,0.0,0.99,1.99,0.99,1.99,-0.01,0.99,-0.01,0,1,1,2,0.01,1,0,0,0,1,-1,-0.99,-1,1,0,0.01,1,1.0,1,0.99,0.99,1.0,0,1
401,1.99,0.01,625,618.75,612.56,618.75,0.0,49.75,49.75,24.75,-0.25,-0.25,24.75,625,0,50,25,0.25,0,25,625,0,25,0,0.25,25,0,-25,-24.75,-25,346.75733333333335,25,24.75,0.99,321.75733333333335,25,0
402,1.99,0.01,1,0.99,0.98,0.0,0.0,1.99,0.99,0.99,-0.01,0.99,0.99,0,0,1,1,0.01,1,1,0,0,0,-1,-0.99,0,0,-1,-0.99,0,0.992,1,0.99,0.99,0.992,0,0
403,1.99,0.01,625,618.75,612.56,0.0,0.0,49.75,24.75,24.75,-0.25,24.75,24.75,0,0,25,25,0.25,25,25,0,0,0,-25,-24.75,0,0,-25,-24.75,0,321.89866666666666,25,24.75,0.99,321.89866666666666,0,0
404,1.01,0.99,1,0.01,0.0,0.0,0.25,1.01,0.01,25.01,-0.99,0.01,-24.99,0,25,1,26,0.99,1,-24,0,0,25,-1,-0.01,-25,625,24,24.99,25,24.744,1,0.01,0.01,24.744,0,25
405,1.99,0.01,1,0.99,0.98,0.0,0.99,1.99,0.99,1.99,-0.01,0.99,-0.01,0,1,1,2,0.01,1,0,0,0,1,-1,-0.99,-1,1,0,0.01,1,1.0,1,0.99,0.99,1.0,0,1
406,1.99,0.01,625,618.75,612.56,618.75,0.0,49.75,49.75,24.75,-0.25,-0.25,24.75,625,0,50,25,0.25,0,25,625,0,25,0,0.25,25,0,-25,-24.75,-25,347.122,25,24.75,0.99,322.122,25,0
407,1.01,0.99,144,1.44,0.01,3.0,3.0,12.12,25.12,25.12,-11.88,-24.88,-24.88,300,300,37,37,11.88,-13,-13,625,625,50,13,24.88,0,625,13,24.88,0,322.718,12,0.12,0.01,297.718,25,25
408,1.99,0.01,1,0.99,0.98,0.0,0.0,1.99,0.99,0.99,-0.01,0.99,0.99,0,0,1,1,0.01,1,1,0,0,0,-1,-0.99,0,0,-1,-0.99,0,0.9913333333333333,1,0.99,0.99,0.9913333333333333,0,0
409,1.99,0.01,625,618.75,612.56,0.0,0.0,49.75,24.75,24.75,-0.25,24.75,24.75,0,0,25,25,0.25,25,25,0,0,0,-25,-24.75,0,0,-25,-24.75,0,321.768,25,24.75,0.99,321.768,0,0
410,1.99,0.01,169,167.31,165.64,321.75,321.75,25.87,37.87,37.87,-0.13,-12.13,-12.13,325,325,38,38,0.13,-12,-12,625,625,50,12,12.13,0,625,12,12.13,0,118.42333333333333,13,12.87,0.99,93.42333333333333,25,25
411,1.99,0.01,625,618.75,612.56,0.0,297.0,49.75,24.75,36.75,-0.25,24.75,12.75,0,300,25,37,0.25,25,13,0,0,12,-25,-24.75,-12,144,-13,-12.75,12,324.81333333333333,25,24.75,0.99,324.81333333333333,0,12
412,1.01,0.99,625,6.25,0.06,6.25,6.25,25.25,25.25,25.25,-24.75,-24.75,-24.75,625,625,50,50,24.75,0,0,625,625,50,0,24.75,0,625,0,24.75,0,647.2113333333333,25,0.25,0.01,622.2113333333333,25,25
413,1.99,0.01,169,167.31,165.64,0.0,321.75,25.87,12.87,37.87,-0.13,12.87,-12.13,0,325,13,38,0.13,13,-12,0,0,25,-13,-12.87,-25,625,12,12.13,25,93.29933333333334,13,12.87,0.99,93.29933333333334,0,25
414,1.99,0.01,625,618.75,612.56,0.0,618.75,49.75,24.75,49.75,-0.25,24.75,-0.25,0,625,25,50,0.25,25,0,0,0,25,-25,-24.75,-25,625,0,0.25,25,328.0106666666667,25,24.75,0.99,328.0106666666667,0,25
415,1.01,0.99,1,0.01,0.0,0.24,0.25,1.01,24.01,25.01,-0.99,-23.99,-24.99,24,25,25,26,0.99,-23,-24,576,600,49,23,23.99,-1,625,24,24.99,1,48.792,1,0.01,0.01,24.792,24,25
416,1.99,0.01,4,3.96,3.92,0.0,0.0,3.98,1.98,1.98,-0.02,1.98,1.98,0,0,2,2,0.02,2,2,0,0,0,-2,-1.98,0,0,-2,-1.98,0,2.966666666666667,2,1.98,0.99,2.966666666666667,0,0
417,1.99,0.01,1,0.99,0.98,0.0,0.0,1.99,0.99,0.99,-0.01,0.99,0.99,0,0,1,1,0.01,1,1,0,0,0,-1,-0.99,0,0,-1,-0.99,0,0.988,1,0.99,0.99,0.988,0,0
418,1.01,0.99,169,1.69,0.02,0.0,0.0,13.13,0.13,0.13,-12.87,0.13,0.13,0,0,13,13,12.87,13,13,0,0,0,-13,-0.13,0,0,-13,-0.13,0,0.878,13,0.13,0.01,0.878,0,0
419,1.99,0.01,1,0.99,0.98,0.0,24.75,1.99,0.99,25.99,-0.01,0.99,-24.01,0,25,1,26,0.01,1,-24,0,0,25,-1,-0.99,-25,625,24,24.01,25,1.176,1,0.99,0.99,1.176,0,25
420,1.01,0.99,1,0.01,0.0,0.0,0.0,1.01,0.01,0.01,-0.99,0.01,0.01,0,0,1,1,0.99,1,1,0,0,0,-1,-0.01,0,0,-1,-0.01,0,0.008,1,0.01,0.01,0.008,0,0
421,1.09,0.91,625,57.4,5.27,0.0,57.4,27.3,2.3,27.3,-22.7,2.3,-22.7,0,625,25,50,22.7,25,0,0,0,25,-25,-2.3,-25,625,0,22.7,25,597.2773333333333,25,2.3,0.09183458033420318,597.2773333333333,0,25
422,1.99,0.01,1,0.99,0.98,0.0,0.0,1.99,0.99,0.99,-0.01,0.99,0.99,0,0,1,1,0.01,1,1,0,0,0,-1,-0.99,0,0,-1,-0.99,0,0.9906666666666667,1,0.99,0.99,0.9906666666666667,0,0
423,1.99,0.01,625,618.75,612.56,0.0,0.0,49.75,24.75,24.75,-0.25,24.75,24.75,0,0,25,25,0.25,25,25,0,0,0,-25,-24.75,0,0,-25,-24.75,0,321.50733333333335,25,24.75,0.99,321.50733333333335,0,0
424,1.99,0.01,1,0.99,0.98,24.75,24.75,1.99,25.99,25.99,-0.01,-24.01,-24.01,25,25,26,26,0.01,-24,-24,625,625,50,24,24.01,0,625,24,24.01,0,26.176,1,0.99,0.99,1.1759999999999984,25,25
425,1.01,0.99,4,0.04,0.0,0.5,0.0,2.02,25.02,0.02,-1.98,-24.98,0.02,50,0,27,2,1.98,-23,2,625,0,25,23,24.98,25,0,-2,-0.02,-25,25.032666666666668,2,0.02,0.01,0.03266666666666751,25,0
426,1.99,0.01,1,0.99,0.98,24.75,0.0,1.99,25.99,0.99,-0.01,-24.01,0.99,25,0,26,1,0.01,-24,1,625,0,25,24,24.01,25,0,-1,-0.99,-25,25.994666666666667,1,0.99,0.99,0.9946666666666673,25,0
427,1.01,0.99,625,6.25,0.06,0.0,0.0,25.25,0.25,0.25,-24.75,0.25,0.25,0,0,25,25,24.75,25,25,0,0,0,-25,-0.25,0,0,-25,-0.25,0,3.138,25,0.25,0.01,3.138,0,0
428,1.01,0.99,1,0.01,0.0,0.24,0.25,1.01,24.01,25.01,-0.99,-23.99,-24.99,24,25,25,26,0.99,-23,-24,576,600,49,23,23.99,-1,625,24,24.99,1,48.728,1,0.01,0.01,24.728,24,25
429,1.99,0.01,4,3.96,3.92,0.0,0.0,3.98,1.98,1.98,-0.02,1.98,1.98,0,0,2,2,0.02,2,2,0,0,0,-2,-1.98,0,0,-2,-1.98,0,2.966,2,1.98,0.99,2.966,0,0
