,(1+p),(1-p),(n*n),(n*p*n),(n*p*n*p),(n*p*x),(n*p*y),(n*p+n),(n*p+x),(n*p+y),(n*p-n),(n*p-x),(n*p-y),(n*x),(n*y),(n+x),(n+y),(n-n*p),(n-x),(n-y),(x*x),(x*y),(x+y),(x-n),(x-n*p),(x-y),(y*y),(y-n),(y-n*p),(y-x),expected_post,n,n*p,p,post-init,x,y
53,1.58,0.42,361,209.38,121.44,176.32,165.3,30.02,27.02,26.02,-7.98,-4.98,-3.98,304,285,35,34,7.98,3,4,256,240,31,-3,4.98,1,225,-4,3.98,-1,246.168,19,11.02,0.58,230.168,16,15
54,1.57,0.43,361,205.77,117.29,151.62,151.62,29.83,24.83,24.83,-8.17,-3.17,-3.17,266,266,33,33,8.17,5,5,196,196,28,-5,3.17,0,196,-5,3.17,0,237.654,19,10.83,0.57,223.654,14,14
55,1.38,0.62,144,54.72,20.79,31.92,68.4,16.56,11.56,19.56,-7.44,-2.44,-10.44,84,180,19,27,7.44,5,-3,49,105,22,-5,2.44,-8,225,3,10.44,8,147.822,12,4.56,0.38,140.822,7,15
56,1.36,0.64,361,129.96,46.79,136.8,75.24,25.84,26.84,17.84,-12.16,-13.16,-4.16,380,209,39,30,12.16,-1,8,400,220,31,1,13.16,9,121,-8,4.16,-9,222.752,19,6.84,0.36,202.752,20,11
57,1.44,0.56,121,53.24,23.43,43.56,67.76,15.84,13.84,18.84,-6.16,-4.16,-9.16,99,154,20,25,6.16,2,-3,81,126,23,-2,4.16,-5,196,3,9.16,5,124.248,11,4.84,0.44,115.248,9,14
58,1.34,0.66,196,66.64,22.66,42.84,90.44,18.76,13.76,23.76,-9.24,-4.24,-14.24,126,266,23,33,9.24,5,-5,81,171,28,-5,4.24,-10,361,5,14.24,10,219.458,14,4.76,0.34,210.458,9,19
59,1.36,0.64,324,116.64,41.99,64.8,0.0,24.48,16.48,6.48,-11.52,-3.52,6.48,180,0,28,18,11.52,8,18,100,0,10,-8,3.52,10,0,-18,-6.48,-10,70.44,18,6.48,0.36,60.44,10,0
60,1.23,0.77,4,0.92,0.21,5.98,1.84,2.46,13.46,4.46,-1.54,-12.54,-3.54,26,8,15,6,1.54,-11,-2,169,52,17,11,12.54,9,16,2,3.54,-9,19.774,2,0.46,0.23,6.774000000000001,13,4
61,1.08,0.92,256,20.48,1.64,3.84,6.4,17.28,4.28,6.28,-14.72,-1.72,-3.72,48,80,19,21,14.72,13,11,9,15,8,-13,1.72,-2,25,-11,3.72,2,87.464,16,1.28,0.08,84.464,3,5
62,1.72,0.28,64,46.08,33.18,92.16,34.56,13.76,21.76,11.76,-2.24,-10.24,-0.24,128,48,24,14,2.24,-8,2,256,96,22,8,10.24,10,36,-2,0.24,-10,55.388,8,5.76,0.72,39.388,16,6
63,1.5,0.5,196,98.0,49.0,7.0,98.0,21.0,8.0,21.0,-7.0,6.0,-7.0,14,196,15,28,7.0,13,0,1,14,15,-13,-6.0,-13,196,0,7.0,13,150.858,14,7.0,0.5,149.858,1,14
64,1.85,0.15,121,102.85,87.42,168.3,65.45,20.35,27.35,16.35,-1.65,-8.65,2.35,198,77,29,18,1.65,-7,4,324,126,25,7,8.65,11,49,-4,-2.35,-11,85.282,11,9.35,0.85,67.282,18,7
65,1.34,0.66,81,27.54,9.36,45.9,52.02,12.06,18.06,20.06,-5.94,-11.94,-13.94,135,153,24,26,5.94,-6,-8,225,255,32,6,11.94,-2,289,8,13.94,2,130.266,9,3.06,0.34,115.26599999999999,15,17
