,((p1+p2)-p1*p2),(1+p1),(1+p2),(1-p1),(1-p2),(flip1*flip1),(flip1*flip2),(flip1+flip2),(flip1-flip2),(flip2*flip2),(flip2-flip1),(p1*p2),(p1+p2),(x*x),expected_post,flip1,flip2,p1,p2,post-init,x
193,0.81,1.35,1.71,0.65,0.29,0,0,0,0,0,0,0.25,1.06,9,4.382,0,0,0.35,0.71,1.3819999999999997,3
194,0.96,1.65,1.89,0.35,0.11,0,0,0,0,0,0,0.58,1.54,25,19.39,0,0,0.65,0.89,14.39,5
195,0.54,1.17,1.45,0.83,0.55,0,0,1,-1,1,1,0.08,0.62,49,7.014,0,1,0.17,0.45,0.014000000000000234,7
196,0.97,1.94,1.45,0.06,0.55,0,0,1,-1,1,1,0.42,1.39,121,23.53,0,1,0.94,0.45,12.530000000000001,11
197,0.66,1.58,1.19,0.42,0.81,0,0,0,0,0,0,0.11,0.77,256,16.326,0,0,0.58,0.19,0.3260000000000005,16
198,0.18,1.14,1.05,0.86,0.95,0,0,1,-1,1,1,0.01,0.19,16,4.0,0,1,0.14,0.05,0.0,4
199,0.98,1.89,1.84,0.11,0.16,0,0,0,0,0,0,0.75,1.73,400,62.934,0,0,0.89,0.84,42.934,20
200,0.66,1.14,1.61,0.86,0.39,0,0,0,0,0,0,0.09,0.75,169,13.252,0,0,0.14,0.61,0.25200000000000067,13
201,0.49,1.05,1.46,0.95,0.54,0,0,0,0,0,0,0.02,0.51,1,1.042,0,0,0.05,0.46,0.04200000000000004,1
202,0.98,1.73,1.91,0.27,0.09,0,0,0,0,0,0,0.66,1.64,4,28.814,0,0,0.73,0.91,26.814,2
203,0.62,1.36,1.4,0.64,0.6,0,0,1,-1,1,1,0.14,0.76,324,18.166,0,1,0.36,0.4,0.16600000000000037,18
204,0.3,1.16,1.17,0.84,0.83,0,0,1,-1,1,1,0.03,0.33,324,18.006,0,1,0.16,0.17,0.006000000000000227,18
205,0.69,1.39,1.49,0.61,0.51,0,0,0,0,0,0,0.19,0.88,4,2.74,0,0,0.39,0.49,0.7400000000000002,2
206,0.96,1.78,1.83,0.22,0.17,0,0,0,0,0,0,0.65,1.61,49,24.972,0,0,0.78,0.83,17.972,7
207,0.96,1.93,1.39,0.07,0.61,0,0,0,0,0,0,0.36,1.32,196,23.334,0,0,0.93,0.39,9.334,14
208,0.78,1.52,1.54,0.48,0.46,0,0,0,0,0,0,0.28,1.06,225,16.048,0,0,0.52,0.54,1.0479999999999983,15
209,0.7,1.42,1.48,0.58,0.52,0,0,1,-1,1,1,0.2,0.9,9,3.278,0,1,0.42,0.48,0.278,3
210,0.42,1.14,1.33,0.86,0.67,0,0,1,-1,1,1,0.05,0.47,64,8.024,0,1,0.14,0.33,0.023999999999999133,8
211,0.95,1.79,1.78,0.21,0.22,0,0,0,0,0,0,0.62,1.57,25,16.766,0,0,0.79,0.78,11.765999999999998,5
212,0.71,1.67,1.11,0.33,0.89,0,0,1,-1,1,1,0.07,0.78,25,5.178,0,1,0.67,0.11,0.17799999999999994,5
213,0.88,1.77,1.47,0.23,0.53,0,0,1,-1,1,1,0.36,1.24,9,5.128,0,1,0.77,0.47,2.128,3
214,1.0,1.95,1.9,0.05,0.1,0,0,1,-1,1,1,0.85,1.85,4,166.832,0,1,0.95,0.9,164.832,2
215,0.69,1.67,1.06,0.33,0.94,0,0,1,-1,1,1,0.04,0.73,169,13.09,0,1,0.67,0.06,0.08999999999999986,13
216,0.55,1.51,1.09,0.49,0.91,0,0,0,0,0,0,0.05,0.6,25,5.102,0,0,0.51,0.09,0.10200000000000031,5
217,0.98,1.73,1.93,0.27,0.07,0,0,0,0,0,0,0.68,1.66,49,42.96,0,0,0.73,0.93,35.96,7
218,0.79,1.49,1.59,0.51,0.41,0,0,1,-1,1,1,0.29,1.08,225,15.746,0,1,0.49,0.59,0.7460000000000004,15
219,0.45,1.27,1.25,0.73,0.75,0,0,1,-1,1,1,0.07,0.52,16,4.026,0,1,0.27,0.25,0.0259999999999998,4
220,0.85,1.48,1.71,0.52,0.29,0,0,1,-1,1,1,0.34,1.19,324,19.378,0,1,0.48,0.71,1.3780000000000001,18
221,0.46,1.37,1.14,0.63,0.86,0,0,1,-1,1,1,0.05,0.51,121,11.032,0,1,0.37,0.14,0.03200000000000003,11
222,0.88,1.86,1.14,0.14,0.86,0,0,1,-1,1,1,0.12,1.0,196,14.91,0,1,0.86,0.14,0.9100000000000001,14
223,0.94,1.89,1.42,0.11,0.58,0,0,1,-1,1,1,0.37,1.31,16,9.522,0,1,0.89,0.42,5.522,4
224,0.39,1.18,1.25,0.82,0.75,0,0,0,0,0,0,0.04,0.43,196,14.044,0,0,0.18,0.25,0.04400000000000048,14
225,0.93,1.61,1.82,0.39,0.18,0,0,0,0,0,0,0.5,1.43,36,12.494,0,0,0.61,0.82,6.494,6
226,0.89,1.85,1.24,0.15,0.76,0,0,0,0,0,0,0.2,1.09,9,4.774,0,0,0.85,0.24,1.774,3
227,0.51,1.11,1.45,0.89,0.55,0,0,0,0,0,0,0.05,0.56,100,10.094,0,0,0.11,0.45,0.09399999999999942,10
228,0.89,1.64,1.7,0.36,0.3,0,0,1,-1,1,1,0.45,1.34,100,12.59,0,1,0.64,0.7,2.59,10
229,0.94,1.78,1.72,0.22,0.28,0,0,1,-1,1,1,0.56,1.5,49,13.608,0,1,0.78,0.72,6.6080000000000005,7
230,0.87,1.84,1.17,0.16,0.83,0,0,0,0,0,0,0.14,1.01,16,5.148,0,0,0.84,0.17,1.1479999999999997,4
231,0.34,1.18,1.2,0.82,0.8,0,0,1,-1,1,1,0.04,0.38,64,8.006,0,1,0.18,0.2,0.006000000000000227,8
232,0.78,1.71,1.24,0.29,0.76,0,0,0,0,0,0,0.17,0.95,169,13.768,0,0,0.71,0.24,0.7680000000000007,13
