,((p1+p2)-p1*p2),(1+p1),(1+p2),(1-p1),(1-p2),(flip1*flip1),(flip1*flip2),(flip1+flip2),(flip1-flip2),(flip2*flip2),(flip2-flip1),(p1*p2),(p1+p2),(x*x),expected_post,flip1,flip2,p1,p2,post-init,x
17,0.74,1.54,1.43,0.46,0.57,0,0,1,-1,1,1,0.23,0.97,100,10.512,0,1,0.54,0.43,0.5120000000000005,10
18,0.94,1.78,1.73,0.22,0.27,0,0,1,-1,1,1,0.57,1.51,289,24.116,0,1,0.78,0.73,7.116,17
19,0.43,1.39,1.06,0.61,0.94,0,0,1,-1,1,1,0.02,0.45,0,0.01,0,1,0.39,0.06,0.01,0
20,0.95,1.94,1.16,0.06,0.84,0,0,1,-1,1,1,0.15,1.1,225,17.542,0,1,0.94,0.16,2.5420000000000016,15
21,0.51,1.25,1.34,0.75,0.66,0,0,0,0,0,0,0.09,0.59,169,13.16,0,0,0.25,0.34,0.16000000000000014,13
22,0.98,1.68,1.94,0.32,0.06,0,0,1,-1,1,1,0.64,1.62,64,26.51,0,1,0.68,0.94,18.51,8
23,0.39,1.18,1.25,0.82,0.75,0,0,0,0,0,0,0.04,0.43,9,3.064,0,0,0.18,0.25,0.06400000000000006,3
24,0.64,1.61,1.07,0.39,0.93,0,0,0,0,0,0,0.04,0.68,36,6.11,0,0,0.61,0.07,0.11000000000000032,6
25,0.86,1.77,1.39,0.23,0.61,0,0,1,-1,1,1,0.3,1.16,256,17.726,0,1,0.77,0.39,1.725999999999999,16
26,0.87,1.52,1.73,0.48,0.27,0,0,0,0,0,0,0.38,1.25,256,19.0,0,0,0.52,0.73,3.0,16
27,0.76,1.29,1.66,0.71,0.34,0,0,1,-1,1,1,0.19,0.95,81,9.108,0,1,0.29,0.66,0.10800000000000054,9
28,0.56,1.5,1.13,0.5,0.87,0,0,0,0,0,0,0.07,0.63,0,0.138,0,0,0.5,0.13,0.138,0
29,0.84,1.64,1.56,0.36,0.44,0,0,0,0,0,0,0.36,1.2,121,13.414,0,0,0.64,0.56,2.4139999999999997,11
30,0.66,1.39,1.44,0.61,0.56,0,0,0,0,0,0,0.17,0.83,324,18.52,0,0,0.39,0.44,0.5199999999999996,18
31,0.98,1.85,1.89,0.15,0.11,0,0,1,-1,1,1,0.76,1.74,25,44.846,0,1,0.85,0.89,39.846,5
32,0.82,1.5,1.64,0.5,0.36,0,0,0,0,0,0,0.32,1.14,100,11.652,0,0,0.5,0.64,1.6519999999999992,10
33,0.56,1.15,1.48,0.85,0.52,0,0,1,-1,1,1,0.07,0.63,225,15.032,0,1,0.15,0.48,0.03200000000000003,15
34,0.99,1.79,1.93,0.21,0.07,0,0,0,0,0,0,0.73,1.72,49,59.224,0,0,0.79,0.93,52.224,7
35,0.87,1.42,1.77,0.58,0.23,0,0,0,0,0,0,0.32,1.19,4,4.106,0,0,0.42,0.77,2.106,2
36,0.88,1.76,1.5,0.24,0.5,0,0,0,0,0,0,0.38,1.26,64,10.928,0,0,0.76,0.5,2.928000000000001,8
37,0.9,1.79,1.5,0.21,0.5,0,0,0,0,0,0,0.4,1.29,100,14.354,0,0,0.79,0.5,4.353999999999999,10
38,0.55,1.33,1.33,0.67,0.67,0,0,1,-1,1,1,0.11,0.66,36,6.088,0,1,0.33,0.33,0.08800000000000008,6
39,0.96,1.84,1.74,0.16,0.26,0,0,1,-1,1,1,0.62,1.58,361,31.816,0,1,0.84,0.74,12.815999999999999,19
40,0.73,1.31,1.61,0.69,0.39,0,0,0,0,0,0,0.19,0.92,361,19.822,0,0,0.31,0.61,0.8219999999999992,19
41,0.67,1.49,1.35,0.51,0.65,0,0,0,0,0,0,0.17,0.84,324,18.602,0,0,0.49,0.35,0.6020000000000003,18
42,0.63,1.13,1.58,0.87,0.42,0,0,1,-1,1,1,0.08,0.71,0,0.008,0,1,0.13,0.58,0.008,0
